Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,第,18,週 生 產 計 畫,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
日期,,線別,製令單號,品號,品名,完工日,,工單數量,實際生產,SAP,包裝,進度,料齊日,備註,生產工時,製令單號,料號,,,重要訂單
2025-02-03 00:00:00,,,,,,,,,,,,,,,9,,,,,
2025-02-03 00:00:00,,VIP,91N125010228,91-7C003-A010,EGX-MXM-T1000/Align,2025-02-04 00:00:00,,280,280,280,1.4,卡OK,2025-01-20 00:00:00,(1/23),401,59N125020029,59-7C003-A010,,,
2025-02-03 00:00:00,,VIP,91E125010263,91-77522-106E,ASH-CECAR-ARIS-CF-i3-8100H,2025-02-03 00:00:00,尾數,200,48,200,1.7,卡OK,2024-01-22 00:00:00,(1/23),90.6,85E125020025,85-77522-106E,,,
2025-02-03 00:00:00,,VIP,91E125010264,91-77522-106E,ASH-CECAR-ARIS-CF-i3-8100H,2025-02-07 00:00:00,,200,140,140,1.7,卡OK*143+PASS*70+,2024-01-22 00:00:00,(1/24),247,85E125020144,85-77522-106E,,,
2025-02-03 00:00:00,,,91E125010145,91-72221-300E,cExpress-MTL-125U,2025-02-04 00:00:00,,6,6,6,1.4,卡OK,2025-01-24 00:00:00,(1/22),17.4,59E125010145,59-72221-303E,,,
2025-02-03 00:00:00,,VIP,91E125020011,91-79030-002E,Aristocrat Gen10 Backplane,2025-02-05 00:00:00,,300,300,300,1.4,卡OK,2024-01-13 00:00:00,(1/24),429,55E125010014,55-79030-004E,,,
2025-02-03 00:00:00,,,91N125020255,91-31426-102C,"cPCI-6540V/9850HL/M16-0,CC",2025-02-10 00:00:00,,1,1,1,5,卡OK,2025-01-15 00:00:00,(1/21),14,85N125020255,85-31426-102C,,,
2025-02-03 00:00:00,,VIP,91N125020247,91-72501-6040,LEC-iMX64-C2-2G-0G-CT,2025-02-13 00:00:00,,630,630,630,1.4,卡OK,2025-01-07 00:00:00,(1/23),891,59N125020053,59-72501-6040,,,
2025-02-03 00:00:00,,VIP,91N125020222,91-95199-0020,MXC-6400 Optional Fan kit,2025-02-04 00:00:00,,10,10,10,11,,2025-01-24 00:00:00,無卡,119,,,,,
2025-02-03 00:00:00,,,91N125020177,91-95186-1010,CMx-BTx-TM-10,2025-02-10 00:00:00,,254,254,254,1.4,,2025-01-24 00:00:00,無卡,364.59999999999997,,,,,
2025-02-03 00:00:00,,VIP,91N125020257,91-95282-0010,DLAP-8000 Accessories kit,2025-02-11 00:00:00,,2,2,2,5,,2025-01-23 00:00:00,無卡,19,,,,,
2025-02-03 00:00:00,,,,,,,,,,,,,,,9,,,,,
2025-02-03 00:00:00,,,,,,,,,,,,,,,9,,,,,
2025-02-03 00:00:00,,,,,,,,,,,,,,,9,,,,,
,,,,2025-02-03 00:00:00,(一)  生產狀況,,,,1671,,,,,當日總工時(min),2628.6,OVER,,,,
日期,,線別,製令單號,品號,品名,完工日,,工單數量,實際生產,SAP,包裝,進度,料齊日,備註,生產工時,,,,,
2025-02-04 00:00:00,,,,,,,,,,,,,,,9,,,,,
2025-02-04 00:00:00,,VIP,91N125020040,AG-M9537A-CFG006,M9537A-CFG006,2025-02-04 00:00:00,尾數,10,3,10,5,卡OK,2025-01-20 00:00:00,(2/3),24,85N125020040,85-65506-90E0,,,
2025-02-04 00:00:00,,VIP,91N125010008,AG-M9035-60001,M9035-60001,2025-02-04 00:00:00,,15,15,15,11,卡OK,2025-01-20 00:00:00,(1/23),174,85N124120248,85-63511-3070,,,
2025-02-04 00:00:00,,,91N125010318,91-72307-I020,t1nanoX-EL-x6425E-4G,2025-02-05 00:00:00,,6,6,6,1.4,卡OK,2025-01-20 00:00:00,(1/23),17.4,59N125010318,59-72307-I030,,,
2025-02-04 00:00:00,,VIP,91E125010264,91-77522-106E,ASH-CECAR-ARIS-CF-i3-8100H,2025-02-07 00:00:00,尾數,200,60,200,1.7,卡OK,2024-01-22 00:00:00,(1/24),111,85E125020144,85-77522-106E,,,
2025-02-04 00:00:00,,VIP,91E125020025,91-77522-106E,ASH-CECAR-ARIS-CF-i3-8100H,2025-02-07 00:00:00,,110,108,108,1.7,卡OK*20+PASS*105,2024-01-22 00:00:00,(2/3),192.6,85E125020145,85-77522-106E,,,
2025-02-04 00:00:00,,VIP,91E125020012,91-79030-002E,Aristocrat Gen10 Backplane,2025-02-07 00:00:00,,600,600,600,1.4,卡OK,2024-01-13 00:00:00,(2/3),849,55E124120403,55-79030-004E,,,
2025-02-04 00:00:00,,,91N125020021,91-48012-0090,CM1-86DX3,2025-02-07 00:00:00,,50,50,50,1.4,卡OK,2025-02-05 00:00:00,(1/23),79,59N125020021,59-48012-00C0,,,
2025-02-04 00:00:00,,,91N124060565,91-72137-1120,Express-ID7-D-1735TR/RP,2025-02-10 00:00:00,,20,20,20,1.4,卡OK,2025-01-06 00:00:00,(1/21),37,59N124060565,59-72137-1120,,,
2025-02-04 00:00:00,,,91E125010170,91-73301-120E,COM-HPC-cRLS-i9-13900E-ASSY/UNI,2025-02-07 00:00:00,尾數,6,2,6,1.4,卡OK*2,2024-01-08 00:00:00,(1/15),11.8,85E125010170,85-73301-120E,,,
2025-02-04 00:00:00,,,91N125040105,90-20084-0010,PCI-8164-2M,2025-02-07 00:00:00,,3,3,3,1.4,,2025-02-03 00:00:00,料+卡OK,13.2,91-12406-0060,,,,
2025-02-04 00:00:00,,VIP,91N125020139,90-20047-2040,PCIe-PXIe-8638D/2M,2025-02-19 00:00:00,,11,11,11,1.4,,2025-01-22 00:00:00,料+卡OK,24.4,91-38901-1030,,,,
2025-02-04 00:00:00,,,91E125020257,91-95351-100E,THS-sMTK,2025-02-11 00:00:00,,1,1,1,1.4,,2025-01-16 00:00:00,無卡,10.4,,,,,
2025-02-04 00:00:00,,,91N125020393,91-95290-1010,THS-siMX8MP,2025-02-11 00:00:00,,4,4,4,1.8,,2025-01-20 00:00:00,無卡,16.2,,,,,
2025-02-04 00:00:00,,,91E125020263,91-95380-500E,THSF-cALN-B,2025-02-10 00:00:00,,3,3,3,1.4,,2025-01-20 00:00:00,無卡,13.2,,,,,
2025-02-04 00:00:00,,,91N125020341,91-95162-5020,THSF-cSL-B,2025-02-18 00:00:00,,1,1,1,1.4,,2025-01-24 00:00:00,無卡,10.4,,,,,
2025-02-04 00:00:00,,,91N125020120,90-20075-0010,AI Camera Dev Kit & Type C power supply,2025-02-19 00:00:00,,5,5,5,2,,2025-01-22 00:00:00,料+卡OK,19,91-14209-1110,,,,
2025-02-04 00:00:00,,,91E125010344,91-95346-200E,HSP for MXM-A4500 with back plate,2025-02-06 00:00:00,,2,2,2,1.4,,2025-01-24 00:00:00,無卡,11.8,,,,,
2025-02-04 00:00:00,,,91N125040116,90-20047-1030,PCIe-PXIe-8638/5M,2025-02-19 00:00:00,,7,7,7,5,,2025-01-22 00:00:00,料+卡OK,44,91-38901-0030,,,,
2025-02-04 00:00:00,,,91N125030030,91-95192-2010,THS-nXAL-B-I,2025-02-13 00:00:00,,100,100,100,1.4,,2025-01-22 00:00:00,無卡,149,,,,,
2025-02-04 00:00:00,,,91N125020260,91-95177-0010,HTS-SL-B,2025-02-13 00:00:00,,49,49,49,1.8,,2025-01-24 00:00:00,無卡,97.2,,,,,
2025-02-04 00:00:00,,VIP,91N125030083,91-95199-0020,MXC-6400 Optional Fan kit,2025-02-11 00:00:00,,18,18,18,11,,2025-02-04 00:00:00,無卡,207,,,,,
2025-02-04 00:00:00,,,91R124120081,91-7C004-0010,EGX-MXM-A4500-8GB-115W/Adlink logo,2025-02-06 00:00:00,,2,2,2,5,,,(1/23),19,,,,,
