Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2025-07-28 00:00:00,Monday,Unnamed: 21,2025-07-29 00:00:00,Tuesday,Unnamed: 24,2025-07-30 00:00:00,Wednesday,Unnamed: 27,2025-07-31 00:00:00,Thursday,Unnamed: 30,2025-08-01 00:00:00,Friday,Unnamed: 33,2025-08-02 00:00:00,Saturday,Unnamed: 36,2025-08-03 00:00:00,Sunday ,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,2025-07-28 00:00:00.1,Unnamed: 44,2025-07-29 00:00:00.1,Unnamed: 46,2025-07-30 00:00:00.1,Unnamed: 48,2025-07-31 00:00:00.1,Unnamed: 50,2025-08-01 00:00:00.1,Unnamed: 52,2025-08-02 00:00:00.1,Unnamed: 54
日期,,線別,,料號,,製令單號,DIP,品號,品名,上線日,完工日,料齊日,說明,工單數量,組裝,測試,交期,備註,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,,重要訂單,,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-07-30 00:00:00,,85ass,,85-63517-0080,,85N125070140,55-63622-0070 OK+55-63623-0030 7/14,85-63517-0080,M9019A BP+Mezz,2025-07-30 00:00:00,2025-08-08 00:00:00,2025-07-15 00:00:00,,30,5,0,2025-08-08 00:00:00,組裝,,,,,,,30,150,組裝,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-07-31 00:00:00,,85test,,85-63517-0080,,85N125070140,,85-63517-0080,M9019A BP+Mezz,2025-07-31 00:00:00,2025-08-08 00:00:00,,,30,0,10.5,2025-08-08 00:00:00,8/8系統領,,,,,,,,,,30,315,測試,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-07-30 00:00:00,,85ass,,85-63512-0050Z,,85N125080055,55-63512-0050Z OK,85-63512-0050Z,M9022A,2025-07-30 00:00:00,2025-08-05 00:00:00,2025-07-08 00:00:00,,27,7,0,2025-09-02 00:00:00,組裝,,,,,,,27,189,組裝,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-07-31 00:00:00,,85test,,85-63512-0050Z,,85N125080055,,85-63512-0050Z,M9022A,2025-07-31 00:00:00,2025-08-05 00:00:00,,測具共用,27,0,20,2025-09-02 00:00:00,,,,,,,,,,,27,540,測試,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-07-30 00:00:00,,85ass,,85-63646-0010,,85N125080228,55-63646-0010 7/29,85-63646-0010,M9038-35501,2025-07-30 00:00:00,2025-08-05 00:00:00,2025-07-07 00:00:00,,20,5,0,2025-08-22 00:00:00,組裝,,,,,,,20,100,組裝,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-07-31 00:00:00,,85test,,85-63646-0010,,85N125080228,,85-63646-0010,M9038-35501,2025-07-31 00:00:00,2025-08-05 00:00:00,,,20,0,5,2025-08-22 00:00:00,,,,,,,,,,,20,100,測試,,,,,,,,,,函數,,,,,,,,,,,,,,
