Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2025-06-02 00:00:00,Monday,Unnamed: 21,2025-06-03 00:00:00,Tuesday,Unnamed: 24,2025-06-04 00:00:00,Wednesday,Unnamed: 27,2025-06-05 00:00:00,Thursday,Unnamed: 30,2025-06-06 00:00:00,Friday,Unnamed: 33,2025-06-07 00:00:00,Saturday,Unnamed: 36,2025-06-08 00:00:00,Sunday ,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,2025-06-02 00:00:00.1,Unnamed: 44,2025-06-03 00:00:00.1,Unnamed: 46,2025-06-04 00:00:00.1,Unnamed: 48,2025-06-05 00:00:00.1,Unnamed: 50,2025-06-06 00:00:00.1,Unnamed: 52,2025-06-07 00:00:00.1,Unnamed: 54
日期,,線別,,料號,,製令單號,DIP,品號,品名,上線日,完工日,料齊日,說明,工單數量,組裝,測試,交期,備註,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,,重要訂單,,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10
2025-06-06 00:00:00,,85test,,85-65014-504E,,85T125060037,,85-65014-504E,ESM002 Shmm700,2025-06-06 00:00:00,2025-06-09 00:00:00,,,1,0,75,2025-06-12 00:00:00,"6/9開始 每天系統領*10
(重要訂單)",,,,,,,,,,,,,1,75,測試,,,,,,,函數,,,,,,,,,,,1,,,
2025-06-02 00:00:00,,85ass,,85-72128-1C1D,,85N125050105,ETT+Coating,85-72128-1C1D,t2ASH-SL-i7-6822EQ/M32G-cc/TPM2.0/GOMA,2025-06-02 00:00:00,2025-06-03 00:00:00,,尾數*1,6,2,0,2025-06-04 00:00:00,組裝,1,2,組裝,,,,,,,,,,,,,,,,,,,函數,,,1,,,,,,,,,,,
2025-06-02 00:00:00,,85test,,85-72128-1C1D,,85N125050105,ETT+Coating,85-72128-1C1D,t2ASH-SL-i7-6822EQ/M32G-cc/TPM2.0/GOMA,2025-06-02 00:00:00,2025-06-03 00:00:00,,尾數*1,6,0,2,2025-06-04 00:00:00,測試,1,2,測試,,,,,,,,,,,,,,,,,,,函數,,,1,,,,,,,,,,,
2025-06-02 00:00:00,,85ass,,85-72215-015S,,85N125040494,59-72215-0150 5/30,85-72215-015S,t2cExpress-KL-i7-7600U/Klas,2025-06-02 00:00:00,2025-06-05 00:00:00,2025-06-01 00:00:00,,44,2,0,2025-06-10 00:00:00,組裝(前置作業),44,88,組裝,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
6/2~6/3,,85test,,85-72215-015S,,85N125040494,ETT,85-72215-015S,t2cExpress-KL-i7-7600U/Klas,6/2~6/3,2025-06-05 00:00:00,PP-ETT-4085,ETT測具*8(Expres系列共用),44,0,20,2025-06-10 00:00:00,ETT（每天務必ETT*4輪）,16,320,ETT,28,560,ETT,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-04 00:00:00,,85test,,85-72215-015S,,85N125040494,ETT,85-72215-015S,t2cExpress-KL-i7-7600U/Klas,2025-06-04 00:00:00,2025-06-05 00:00:00,,,44,0,1,2025-06-10 00:00:00,測開機,,,,,,,44,44,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-04 00:00:00,,85ass,,91-7C004-201S,,91R125050115,91-7C004-2020 OK,91-7C004-201S,t1EGX-MXM-A4500-16G-80W/Adlink logo,2025-06-04 00:00:00,2025-06-09 00:00:00,2025-06-01 00:00:00,,20,1,0,2025-06-23 00:00:00,組裝(前置作業),,,,,,,20,20,組裝,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
6/4~6/5,,85test,,91-7C004-201S,,91R125050115,ETT,91-7C004-201S,t1EGX-MXM-A4500-16G-80W/Adlink logo,6/4~6/5,2025-06-09 00:00:00,PP-ETT-2070,,20,0,20,2025-06-23 00:00:00,ETT（每天務必ETT*4輪）,,,,,,,16,320,ETT,4,80,ETT,,,,,,,,,,函數,,,,,,,,,1,,,,,
2025-06-06 00:00:00,,85test,,91-7C004-201S,,91R125050115,ETT,91-7C004-201S,t1EGX-MXM-A4500-16G-80W/Adlink logo,2025-06-06 00:00:00,2025-06-09 00:00:00,,,20,0,1,2025-06-23 00:00:00,測開機,,,,,,,,,,,,,20,20,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-05 00:00:00,,85ass,,85-72219-323S,,85N125060025,59-72219-3230 6/3,85-72219-323S,t2cExpress-AR-V2516/PCIe/Klas,2025-06-05 00:00:00,2025-06-13 00:00:00,5/19 Karen通知移除,,1,1,0,2025-06-13 00:00:00,組裝(前置作業),,,,,,,,,,1,1,組裝,,,,,,,,,,函數,,,,,,,,,1,,,,,
2025-06-05 00:00:00,,85test,,85-72219-323S,,85N125060025,ETT,85-72219-323S,t2cExpress-AR-V2516/PCIe/Klas,2025-06-05 00:00:00,2025-06-13 00:00:00,PP-ETT-4085,ETT測具*8(Expres系列共用),1,0,20,2025-06-13 00:00:00,ETT（每天務必ETT*4輪）,,,,,,,,,,1,20,ETT,,,,,,,,,,函數,,,,,,,,,1,,,,,
2025-06-06 00:00:00,,85test,,85-72219-323S,,85N125060025,ETT,85-72219-323S,t2cExpress-AR-V2516/PCIe/Klas,2025-06-06 00:00:00,2025-06-13 00:00:00,,,1,0,1,2025-06-13 00:00:00,"測開機,SRR需求",,,,,,,,,,,,,1,1,,,,,,,,函數,,,,,,,,,,,1,,,
2025-06-05 00:00:00,,85ass,,59-7C002-0210,,59R125040069,59-7C002-C000 OK,59-7C002-0210,EGX-MXM-RTX5000/VPX3-PL90W,2025-06-05 00:00:00,2025-06-13 00:00:00,5F重工,,7,2,0,2025-06-13 00:00:00,特採DEV-0054072(新增ETT+Coating)(前置作業),,,,,,,,,,7,14,組裝,,,,,,,,,,函數,,,,,,,,,,1,,,,
6/5~6/6,,85test,,59-7C002-0210,,59R125040069,,59-7C002-0210,EGX-MXM-RTX5000/VPX3-PL90W,6/5~6/6,2025-06-13 00:00:00,PP-ETT-2070,,7,0,20,2025-06-13 00:00:00,ETT（每天務必ETT*4輪）,,,,,,,,,,4,80,ETT,3,60,ETT,,,,,,,函數,,,,,,,,,1,,1,,,
2025-06-07 00:00:00,,85test,,59-7C002-0210,,59R125040069,,59-7C002-0210,EGX-MXM-RTX5000/VPX3-PL90W,2025-06-07 00:00:00,2025-06-13 00:00:00,,,7,0,6,2025-06-13 00:00:00,轉作COATING,,,,,,,,,,,,,,,,7,0,DIP-Coating,,,,函數,,,,,,,,,,,,,,1
2025-06-03 00:00:00,,85ass,,85-72139-R20D,,85E125050099,59-72139-R110 6/2,85-72139-R20D,t2Express-RLP-i5-13600HRE-cc/S32G/AVA-72,2025-06-03 00:00:00,2025-06-10 00:00:00,2025-05-20 00:00:00,生產過,6,1,0,2025-06-10 00:00:00,組裝(前置作業),,,,6,6,組裝,,,,,,,,,,,,,,,,函數,,,,,,1,,,,,,,,
2025-06-03 00:00:00,,85test,,85-72139-R20D,,85E125050099,ETT+Coating,85-72139-R20D,t2Express-RLP-i5-13600HRE-cc/S32G/AVA-72,2025-06-03 00:00:00,2025-06-10 00:00:00,PP-ETT-4085,ETT測具*4,6,0,20,2025-06-10 00:00:00,C棟 1F CHAMBER J 作ETT（每天務必ETT*4輪）,,,,6,120,ETT,,,,,,,,,,,,,,,,函數,,,,,,1,,,,,,,,
2025-06-04 00:00:00,,85test,,85-72139-R20D,,85E125050099,ETT+Coating,85-72139-R20D,t2Express-RLP-i5-13600HRE-cc/S32G/AVA-72,2025-06-04 00:00:00,2025-06-10 00:00:00,,,6,1,3,2025-06-10 00:00:00,轉作COATING,,,,,,,6,0,DIP-Coating,,,,,,,,,,,,,函數,,,,,,,,1,,,,,,
2025-06-03 00:00:00,,59test,,59-72215-070E,,59E125040217,55-72215-070E 5/23(水洗+重工),59-72215-070E,cExpress-KL-i7-7600U/BTKN,2025-06-03 00:00:00,2025-06-04 00:00:00,PE驗證Fail,異常-重排,16,0,31.2,2025-06-11 00:00:00,6/5接85E125040217(ETT+Coating)(重要訂單),,,,16,499.2,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-05 00:00:00,,85ass,,85-72215-070D,,85E125040217,59-72215-070E 6/4,85-72215-070D,t2cExpress-KL-i7-7600U/cc/BTKN,2025-06-05 00:00:00,2025-06-10 00:00:00,,PCC-Cindy告知不需驗證,16,2,0,2025-06-11 00:00:00,組裝(前置作業)(重要訂單),,,,,,,,,,16,32,組裝,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-05 00:00:00,,85test,,85-72215-070D,,85E125040217,ETT+Coating,85-72215-070D,t2cExpress-KL-i7-7600U/cc/BTKN,2025-06-05 00:00:00,2025-06-10 00:00:00,PP-ETT-4085,ETT測具*8(Expres系列共用),16,0,20,2025-06-11 00:00:00,C棟 1F CHAMBER J 作ETT（每天務必ETT*4輪）,,,,,,,,,,16,320,ETT,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-06 00:00:00,,85test,,85-72215-070D,,85E125040217,ETT+Coating,85-72215-070D,t2cExpress-KL-i7-7600U/cc/BTKN,2025-06-06 00:00:00,2025-06-10 00:00:00,,,16,2,27,2025-06-11 00:00:00,轉作COATING,,,,,,,,,,,,,16,0,DIP-Coating,,,,,,,函數,,,,,,,,,,,,,,
6/4~6/5,,59test,,59-31130-0120,,59N125060071,2025-06-03 00:00:00,59-31130-0120,cPCI-A3535ND2,6/4~6/5,2025-06-06 00:00:00,,,100,0,15,2025-07-02 00:00:00,"急件,6/6接85N125060071(ETT+Coating)",,,,,,,80,1200,,20,300,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-07 00:00:00,,59test,,59-31130-0120,,59N125050561,2025-06-06 00:00:00,59-31130-0120,cPCI-A3535ND2,2025-06-07 00:00:00,2025-06-09 00:00:00,,,50,0,15,2025-07-02 00:00:00,"急件,6/10接85N125060071(ETT+Coating)",,,,,,,,,,,,,,,,50,750,,,,,函數,,,,,,,,,,,,,,
6/6~6/10,,85ass,,85-31130-015D,,85N125060071,59-37626-0010 6/5+59-31130-0120 6/5*80+6/6*20+6/9*50,85-31130-015D,cPCI-A3535ND2,6/6~6/10,2025-06-25 00:00:00,2025-06-05 00:00:00,上線*100+50,150,16,0,2025-07-02 00:00:00,"急件,組裝(重要訂單)",,,,,,,,,,,,,0,0,組裝,60,960,組裝,,,,函數,,,,,,,,,,,,,,
6/7~6/13,,85test,,85-31130-015D,,85N125060071,ETT+Coating,85-31130-015D,cPCI-A3535ND2,6/7~6/13,2025-06-25 00:00:00,2506.91-31130-015D-1,,150,0,40,2025-07-02 00:00:00,"急件,測試(重要訂單)",,,,,,,,,,,,,,,,8,320,測試,,,,函數,,,,,,,,,,,,,,1
5/29~6/3,,85ass,,85-33637-000C,,85E125080048,59-33637-0030 OK,85-33637-000C,"cBP-6418U/N110,CC",5/29~6/3,2025-06-13 00:00:00,2025-05-01 00:00:00,PE(Stanley)驗證,5,0,5,2025-06-03 00:00:00,"5/29~6/2 PE(Stanley)驗證,6/3接測(前置作業)",0,0,PE驗證,5,25,組裝,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
2025-06-04 00:00:00,,85test,,85-33637-000C,,85E125080048,,85-33637-000C,"cBP-6418U/N110,CC",2025-06-04 00:00:00,2025-06-13 00:00:00,,,5,3,5,2025-06-13 00:00:00,轉作COATING,,,,,,,5,0,DIP-Coating,,,,,,,,,,,,,函數,,,,,,,1,,,,,,,
2025-06-05 00:00:00,,85test,,85-33637-000C,,85E125080048,,85-33637-000C,"cBP-6418U/N110,CC",2025-06-05 00:00:00,2025-06-13 00:00:00,,,5,0,5,2025-06-13 00:00:00,6/13系統領,,,,,,,,,,5,25,,,,,,,,,,,函數,,,,,,,,,1,,,,,
2025-06-05 00:00:00,,59test,,59-65528-0020,,59N125060056,2025-06-04 00:00:00,59-65528-0020,CPU-MMI-CP-100,2025-06-05 00:00:00,2025-06-10 00:00:00,,,27,0,25,2025-06-10 00:00:00,6/10系統領,,,,,,,,,,27,675,,,,,,,,,,,函數,,,,,,,,,,,,,,
5/29~6/4,,85test,,85-31128-0U0C,,85N125040506,Coating,85-31128-0U0C,"cPCI-3520DEPS/8400H/M16/MS/TPM2,CC",5/29~6/4,2025-06-05 00:00:00,,PE(Kyle)驗證,36,0,20,2025-06-06 00:00:00,"5/29~6/3 PE(Kyle)驗證,6/4接測試",0,0,PE驗證,0,0,PE驗證,36,720,測試,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-04 00:00:00,,59test,,59-63020-0010,,59N125060213,2025-06-03 00:00:00,59-63020-0010,Popeye USB3 Type-C,2025-06-04 00:00:00,2025-06-05 00:00:00,,,15,0,3,2025-06-06 00:00:00,(重要訂單),,,,,,,15,45,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-05 00:00:00,,59test,,59-A3033-1010,,59N125060060,2025-06-04 00:00:00,59-A3033-1010,PW-200 for MMI-CP-100,2025-06-05 00:00:00,2025-06-10 00:00:00,,,28,0,4,2025-06-10 00:00:00,6/10系統領,,,,,,,,,,28,112,,,,,,,,,,,函數,,,,,,,,,,,,,,
6/5~6/6,,59test,,59-38211-0020,,59N125050370,2025-06-05 00:00:00,59-38211-0020,PB-2785,6/5~6/6,2025-06-06 00:00:00,,,50,0,10,2025-06-06 00:00:00,"急件,6/6系統領(重要訂單)",,,,,,,,,,40,400,,10,100,,,,,,,,函數,,,,,,,,,,,,1,,
2025-06-06 00:00:00,,85ass,,85-63529-0010,,85N125070051,55-63529-0010 6/5,85-63529-0010,P831,2025-06-06 00:00:00,2025-06-09 00:00:00,2025-06-02 00:00:00,,5,5,0,2025-06-17 00:00:00,組裝(重要訂單),,,,,,,,,,,,,5,25,組裝,,,,,,,函數,,,,,,,,,,,1,,,
2025-06-07 00:00:00,,85test,,85-63529-0010,,85N125070051,,85-63529-0010,P831,2025-06-07 00:00:00,2025-06-09 00:00:00,,,5,0,6,2025-06-17 00:00:00,(重要訂單),,,,,,,,,,,,,,,,5,30,測試,,,,函數,,,,,,,,,,,,,1,
2025-06-02 00:00:00,,85ass,,85-36951-0030,,85N125070010,55-36951-0050 OK*30+ 5/5*30,85-36951-0030,ASM PXI-8565,2025-06-02 00:00:00,2025-06-04 00:00:00,2025-05-02 00:00:00,,60,7.9,0,2025-06-19 00:00:00,組裝,60,474,組裝,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-03 00:00:00,,85test,,85-36951-0030,,85N125070010,,85-36951-0030,ASM PXI-8565,2025-06-03 00:00:00,2025-06-04 00:00:00,,,60,0,8.5,2025-06-19 00:00:00,SS,,,,60,510,測試,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-06-02 00:00:00,,85ass,,85-38205-2010,,85N125040437,55-38205-2010+55-38006-1010 OK,85-38205-2010,PXIe-9529H,2025-06-02 00:00:00,2025-06-04 00:00:00,2025-05-28 00:00:00,,8,12,0,2025-06-26 00:00:00,組裝,8,96,組裝,,,,,,,,,,,,,,,,,,,函數,,,,1,,,,,,,,,,
2025-06-03 00:00:00,,59test,,85-38205-2010,,85N125040437,,85-38205-2010,PXIe-9529H,2025-06-03 00:00:00,2025-06-04 00:00:00,,,8,0,13.5,2025-06-26 00:00:00,,,,,8,108,測試,,,,,,,,,,,,,,,,函數,,,,,,1,,,,,,,,
2025-06-02 00:00:00,,59test,,59-37112-0020,,59N125050457,2025-05-29 00:00:00,59-37112-0020,UNP cBP-R3213,2025-06-02 00:00:00,2025-06-03 00:00:00,,,10,0,8,2025-06-05 00:00:00,ZPR125060003,10,80,,,,,,,,,,,,,,,,,,,,函數,,,,1,,,,,,,,,,
2025-06-05 00:00:00,,85ass,,85-48106-2000,,85N125060292,55-48106-2000 6/4,85-48106-2000,CM4-SL2-WiTronix-16G,2025-06-05 00:00:00,2025-06-11 00:00:00,2025-06-03 00:00:00,,152,2,0,2025-06-13 00:00:00,"急件,組裝(重要訂單)",,,,,,,,,,152,304,組裝,,,,,,,,,,函數,,,,,,,,,,,,,,
6/6~6/10,,85test,,85-48106-2000,,85N125060292,55-48106-2000 6/4,85-48106-2000,CM4-SL2-WiTronix-16G,6/6~6/10,2025-06-11 00:00:00,,,152,0,22,2025-06-13 00:00:00,"急件,(重要訂單)",,,,,,,,,,,,,50,1100,測試,40,880,測試,,,,函數,,,,,,,,,,,,,,
2025-06-06 00:00:00,,85test,,91-48101-506S,,91T125060029,,91-48101-506S,"CM-920-R-18,ETT",2025-06-06 00:00:00,2025-06-09 00:00:00,,,24,0,17,2025-06-13 00:00:00,"6/5拆包裝,序號超過2年重測(不需重作ETT)",,,,,,,,,,,,,24,408,,,,,,,,函數,,,,,,,,,,,,,,
