Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2025-09-01 00:00:00,Monday,Unnamed: 21,2025-09-02 00:00:00,Tuesday,Unnamed: 24,2025-09-03 00:00:00,Wednesday,Unnamed: 27,2025-09-04 00:00:00,Thursday,Unnamed: 30,2025-09-05 00:00:00,Friday,Unnamed: 33,2025-09-06 00:00:00,Saturday,Unnamed: 36,2025-09-07 00:00:00,Sunday ,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,2025-09-01 00:00:00.1,Unnamed: 44,2025-09-02 00:00:00.1,Unnamed: 46,2025-09-03 00:00:00.1,Unnamed: 48,2025-09-04 00:00:00.1,Unnamed: 50,2025-09-05 00:00:00.1,Unnamed: 52,2025-09-06 00:00:00.1,Unnamed: 54
日期,,線別,,料號,,製令單號,DIP,品號,品名,上線日,完工日,料齊日,說明,工單數量,組裝,測試,交期,備註,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,,,,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
8/27~9/1,,85test,,85-31130-005D,,85N125100007,ETT+Coating,85-31130-005D,cPCI-A3535ND1,8/27~9/1,2025-09-09 00:00:00,PP-ETT-4070,ETT測具*2->4,51,0,20,2025-09-10 00:00:00,ETT（每天務必ETT*4輪）借用4F系統 Chamber 1+6 時間：8/27~9/2,7,140,ETT,,,,,,,,,,,,,,,,,,,函數,,,,1,,,,,,,,,,
2025-09-02 00:00:00,,85ass,,85-31130-005D,,85N125100007,ETT+Coating,85-31130-005D,cPCI-A3535ND1,2025-09-02 00:00:00,2025-09-09 00:00:00,,,51,12,0,2025-09-10 00:00:00,拆解(重要訂單),,,,51,612,拆解,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
9/3~9/4,,85test,,85-31130-005D,,85N125100007,ETT+Coating,85-31130-005D,cPCI-A3535ND1,9/3~9/4,2025-09-09 00:00:00,Coating:35分/片,,51,0,0,2025-09-10 00:00:00,轉作COATING,,,,,,,45,0,DIP-Coating,6,0,DIP-Coating,,,,,,,,,,函數,,,,,,,,,,1,,,,
2025-09-05 00:00:00,,85ass,,85-31130-005D,,85N125100007,ETT+Coating,85-31130-005D,cPCI-A3535ND1,2025-09-05 00:00:00,2025-09-09 00:00:00,,,51,12,0,2025-09-10 00:00:00,"急件,組裝(重要訂單)",,,,,,,,,,,,,51,612,組裝,,,,,,,函數,,,,,,,,,,,,,,
8/27~9/2,,85test,,85-66026-1050,,85N125090200,55-66026-0010 8/15+59-72304-0260 8/15開始每天入*140,85-66026-1050,BD FX C/B+nanoX-BT-E3845-2G,8/27~9/2,2025-09-03 00:00:00,,,194,0,23.88,2025-09-17 00:00:00,測試(分批送驗),50,1194,測試,4,95.52,測試,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-09-01 00:00:00,,59test,,59-72213-1600,,59N125090145,2025-09-01 00:00:00,59-72213-1600,cExpress-SL-i5-6300U/BEL,2025-09-01 00:00:00,2025-09-02 00:00:00,,"72213/72215共用,測具*4(雙機)",30,0,14.3,2025-09-23 00:00:00,"85N125090145(ETT+Coating),測具4套",30,429,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
