Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2025-07-14 00:00:00,Monday,Unnamed: 21,2025-07-15 00:00:00,Tuesday,Unnamed: 24,2025-07-16 00:00:00,Wednesday,Unnamed: 27,2025-07-17 00:00:00,Thursday,Unnamed: 30,2025-07-18 00:00:00,Friday,Unnamed: 33,2025-07-19 00:00:00,Saturday,Unnamed: 36,2025-07-20 00:00:00,Sunday ,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,2025-07-14 00:00:00.1,Unnamed: 44,2025-07-15 00:00:00.1,Unnamed: 46,2025-07-16 00:00:00.1,Unnamed: 48,2025-07-17 00:00:00.1,Unnamed: 50,2025-07-18 00:00:00.1,Unnamed: 52,2025-07-19 00:00:00.1,Unnamed: 54
日期,,線別,,料號,,製令單號,DIP,品號,品名,上線日,完工日,料齊日,說明,工單數量,組裝,測試,交期,備註,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,,重要訂單,,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-07-15 00:00:00,,85ass,,AG-M9038-60001,,91R125070073,,AG-M9038-60001,M9038-60001,2025-07-15 00:00:00,2025-07-16 00:00:00,5F重工(RMA 7/14提供),,1,20,0,2025-07-18 00:00:00,"急件,組裝",,,,1,20,組裝,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
2025-07-15 00:00:00,,85test,,AG-M9038-60001,,91R125070073,,AG-M9038-60001,M9038-60001,2025-07-15 00:00:00,2025-07-16 00:00:00,,M9035/M9037/M9038測具共用(24台/天),1,0,38,2025-07-18 00:00:00,"急件,測試",,,,1,38,測試,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
2025-07-15 00:00:00,,85ass,,AG-M9038-60001,,91R125070074,,AG-M9038-60001,M9038-60001,2025-07-15 00:00:00,2025-07-16 00:00:00,5F重工(RMA 7/14提供),,1,20,0,2025-07-18 00:00:00,"急件,組裝",,,,1,20,組裝,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
2025-07-15 00:00:00,,85test,,AG-M9038-60001,,91R125070074,,AG-M9038-60001,M9038-60001,2025-07-15 00:00:00,2025-07-16 00:00:00,,M9035/M9037/M9038測具共用(24台/天),1,0,38,2025-07-18 00:00:00,"急件,測試",,,,1,38,測試,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
7/8~9/3,,85test,,85-65506-90E0,,85N125060140,55-38207-0010+55-65506-0090+59-72128-0290 ok,85-65506-90E0,M9537A-CFG006,7/8~9/3,2025-09-04 00:00:00,未排完+未排包,7/14~7/16測具 RMA借用,36,0,38,2025-07-31 00:00:00,(重要訂單),0,0,PE驗證,0,0,PE驗證,0,0,PE驗證,1,38,測試,1,38,測試,,,,,,,函數,85N125060140,,,,,,,,1,,1,,,
7/11~7/18,,85test,,85-63547-100E,,85E125040106,55-63645-0010+55-63646-0010+55-63547-003E+59-72138-H120 OK,85-63547-100E,M9538A/M64,7/11~7/18,2025-07-21 00:00:00,,異常-重排,5,135,20,2025-07-21 00:00:00,"急件,7/21包,(重要訂單)",,,,,,,,,,2,310,測試,1,155,測試,,,,,,,函數,85E125040106,,,,,,,,1,,1,,,
2025-07-16 00:00:00,,85test,,85-63538-0020,,85T125070060,,85-63538-0020,M9046-60110 BP+Mezz,2025-07-16 00:00:00,2025-07-17 00:00:00,,,3,0,15,2025-07-17 00:00:00,"急件,7/17系統領",,,,,,,3,45,測試,,,,,,,,,,,,,函數,,,,,,,1,,,,,,,
