Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2025-03-03 00:00:00,Monday,Unnamed: 21,2025-03-04 00:00:00,Tuesday,Unnamed: 24,2025-03-05 00:00:00,Wednesday,Unnamed: 27,2025-03-06 00:00:00,Thursday,Unnamed: 30,2025-03-07 00:00:00,Friday,Unnamed: 33,2025-03-08 00:00:00,Saturday,Unnamed: 36,2025-03-09 00:00:00,Sunday ,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,2025-03-03 00:00:00.1,Unnamed: 44,2025-03-04 00:00:00.1,Unnamed: 46,2025-03-05 00:00:00.1,Unnamed: 48,2025-03-06 00:00:00.1,Unnamed: 50,2025-03-07 00:00:00.1,Unnamed: 52,2025-03-08 00:00:00.1,Unnamed: 54
日期,,線別,,料號,,製令單號,DIP,品號,品名,上線日,完工日,料齊日,說明,工單數量,組裝,測試,交期,備註,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,,重要訂單,,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10
3/3~3/31,,,,00:00:00,,線修-工時,,,,3/3~3/31,,,,1,0,460,,,1,460,,1,460,,1,460,,1,460,,1,460,,,,,,,,函數,,,1,,1,,1,,1,,1,,,
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-03 00:00:00,,59test,,59-63516-0020,,59N125040072,2025-03-03 00:00:00,59-63516-0020,M9019-66502,2025-03-03 00:00:00,2025-03-07 00:00:00,,,50,0,4,2025-03-07 00:00:00,3/7系統領(重要訂單),50,200,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-05 00:00:00,,59test,,59-63515-0080,,59N125030132,2025-03-05 00:00:00,59-63515-0080,M9019-66501,2025-03-05 00:00:00,2025-03-07 00:00:00,,,100,0,4,2025-03-07 00:00:00,3/7系統領(重要訂單),,,,,,,100,400,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-05 00:00:00,,59test,,59-63515-0080,,59T125030019,,59-63515-0080,M9019-66501,2025-03-05 00:00:00,2025-03-07 00:00:00,,,4,0,4,2025-03-07 00:00:00,3/7系統領(重要訂單),,,,,,,4,16,,,,,,,,,,,,,,函數,,,,,,,1,,,,,,,
2025-03-03 00:00:00,,85ass,,85-63517-1020,,85N125030070,55-63623-1010+55-63622-3020 OK,85-63517-1020,M9019-60130 BP+Mezz,2025-03-03 00:00:00,2025-03-21 00:00:00,2025-02-20 00:00:00,,27,5,0,2025-03-21 00:00:00,組裝(重要訂單),27,135,組裝,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-04 00:00:00,,85test,,85-63517-1020,,85N125030070,,85-63517-1020,M9019-60130 BP+Mezz,2025-03-04 00:00:00,2025-03-21 00:00:00,,,27,0,10.5,2025-03-21 00:00:00,3/21系統領(重要訂單),,,,27,283.5,測試,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-05 00:00:00,,85ass,,85-63512-1050,,85N124070080,55-63512-1050 ok,85-63512-1050,M9023A,2025-03-05 00:00:00,2025-03-07 00:00:00,2025-03-03 00:00:00,,15,7,0,2025-03-18 00:00:00,組裝(重要訂單),,,,,,,15,105,組裝,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-06 00:00:00,,85test,,85-63512-1050,,85N124070080,,85-63512-1050,M9023A,2025-03-06 00:00:00,2025-03-07 00:00:00,,測具共用,15,0,20,2025-03-18 00:00:00,(重要訂單),,,,,,,,,,15,300,測試,,,,,,,,,,函數,,,,,,,,,,,,,,
3/1~3/5,,85test,,85-63539-0040,,85N125010524,55-63645-0010+55-63646-0010 OK+55-63644-0010+59-72135-0320 1/23+55-63539-0020 2/7,85-63539-0040,M9038-60001,3/1~3/5,2025-03-06 00:00:00,,M9035/M9037/M9038測具共用(24台/天),95,0,39,2025-03-21 00:00:00,分批送驗(重要訂單),30,1170,測試,30,1170,測試,12,468,測試,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-03 00:00:00,,85ass,,85-63511-3070,,85N125030195,55-38212-1010+55-63511-3020 1/23+59-72131-2250 2/5+55-38207-0010 2/17,85-63511-3070,M9035-60001,2025-03-03 00:00:00,2025-03-07 00:00:00,2025-02-11 00:00:00,,57,20,0,2025-03-17 00:00:00,組裝(重要訂單),57,1140,組裝,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
3/5~3/6,,85test,,85-63511-3070,,85N125030195,,85-63511-3070,M9035-60001,3/5~3/6,2025-03-07 00:00:00,,M9035/M9037/M9038測具共用(24台/天),57,0,2,2025-03-17 00:00:00,(重要訂單),,,,,,,23,46,測試,34,68,測試,,,,,,,,,,函數,,,,,,,,,,,,,,
2/21~3/3,,85test,,85-72306-282S,,85N125030021,ETT,85-72306-282S,t2nanoX-AL-E3930-4G/32GB/NEC,2/21~3/3,2025-03-04 00:00:00,PP-ETT-4085,ETT測具*4->8,98,0,20,2025-03-05 00:00:00,ETT（每天務必ETT*4輪）,6,120,ETT,,,,,,,,,,,,,,,,,,,函數,,,,1,,,,,,,,,,
2025-03-04 00:00:00,,85test,,85-72306-282S,,85N125030021,ETT,85-72306-282S,t2nanoX-AL-E3930-4G/32GB/NEC,2025-03-04 00:00:00,2025-03-04 00:00:00,,,98,0,1,2025-03-05 00:00:00,"急件,測開機,3/5包",,,,98,98,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2/26~3/6,,85test,,85-31130-015D,,85N125010394,ETT+Coating,85-31130-015D,cPCI-A3535ND2,2/26~3/6,2025-03-11 00:00:00,PP-ETT-4070,ETT測具*2->4,85,0,20,2025-03-12 00:00:00,"C棟 1F CHAMBER B+F 作ETT（每天務必ETT*3輪）,
借用時間:2/24~3/10",16,320,ETT,16,320,ETT,16,320,ETT,11,220,ETT,,,,,,,,,,函數,,,,,,,,,,,,,,
3/5~3/7,,85ass,,85-31130-015D,,85N125010394,ETT+Coating,85-31130-015D,cPCI-A3535ND2,3/5~3/7,2025-03-11 00:00:00,,,85,16,0,2025-03-12 00:00:00,拆解(重要訂單),,,,,,,45,720,拆解,30,480,拆解,10,160,拆解,,,,,,,函數,,,,,,,,,,,,1,,
3/6~3/7,,85test,,85-31130-015D,,85N125010394,ETT+Coating,85-31130-015D,cPCI-A3535ND2,3/6~3/7,2025-03-11 00:00:00,Coating:35分/片,,85,28,40,2025-03-12 00:00:00,轉作COATING,,,,,,,,,,43,0,DIP-Coating,42,0,DIP-Coating,,,,,,,函數,,,,,,,,,,,,,,
3/7~3/8,,85ass,,85-31130-015D,,85N125010394,ETT+Coating,85-31130-015D,cPCI-A3535ND2,3/7~3/8,2025-03-11 00:00:00,,,85,12,0,2025-03-12 00:00:00,"急件,組裝(重要訂單)",,,,,,,,,,,,,43,516,組裝,42,504,組裝,,,,函數,,,,,,,,,,,,,,
3/8~3/10,,85test,,85-31130-015D,,85N125010394,ETT+Coating,85-31130-015D,cPCI-A3535ND2,3/8~3/10,2025-03-11 00:00:00,,,85,0,5,2025-03-12 00:00:00,"急件,後測(重要訂單)",,,,,,,,,,,,,,,,43,215,測試,,,,函數,,,,,,,,,,,,,,
2/26~3/3,,85ass,,85-65A60-003C,,85N125010402,Coating,85-65A60-003C,cPCI-A3W10ND,2/26~3/3,2025-03-06 00:00:00,Coating:35分/片,,145,15,15,2025-03-11 00:00:00,轉作COATING,30,0,DIP-Coating,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
3/1~3/4,,85test,,85-65A60-003C,,85N125010402,Coating,85-65A60-003C,cPCI-A3W10ND,3/1~3/4,2025-03-06 00:00:00,2025-02-25 00:00:00,,145,15,0,2025-03-11 00:00:00,組裝(重要訂單),50,750,組裝,45,675,組裝,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
3/3~3/5,,85test,,85-65A60-003C,,85N125010402,Coating,85-65A60-003C,cPCI-A3W10ND,3/3~3/5,2025-03-06 00:00:00,,,145,0,15,2025-03-11 00:00:00,測試(重要訂單),50,750,測試,50,750,測試,45,675,測試,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-03 00:00:00,,85test,,85-65A30-002C,,85N125020009,Coating,85-65A30-002C,"RISER-CCU01,CC",2025-03-03 00:00:00,2025-03-14 00:00:00,Coating:13分/片,,55,1,1,2025-03-14 00:00:00,轉作COATING,55,0,DIP-Coating,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-04 00:00:00,,85test,,85-65A30-002C,,85N125020009,Coating,85-65A30-002C,"RISER-CCU01,CC",2025-03-04 00:00:00,2025-03-14 00:00:00,,,55,0,1,2025-03-14 00:00:00,2/14系統領(重要訂單),,,,55,55,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-03 00:00:00,,85ass,,85-32205-100C,,85E125030244,59-32205-104E 3/1,85-32205-100C,"RMXM-200-B,CC",2025-03-03 00:00:00,2025-03-13 00:00:00,2025-03-01 00:00:00,生產過,5,2,0,2025-03-13 00:00:00,組裝(前置作業),5,10,組裝,,,,,,,,,,,,,,,,,,,函數,,,1,,,,,,,,,,,
2025-03-04 00:00:00,,85test,,85-32205-100C,,85E125030244,Coating,85-32205-100C,"RMXM-200-B,CC",2025-03-04 00:00:00,2025-03-13 00:00:00,Coating:45分/片,,5,5,20,2025-03-13 00:00:00,轉作COATING,,,,5,0,DIP-Coating,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
2025-03-05 00:00:00,,85test,,85-32205-100C,,85E125030244,Coating,85-32205-100C,"RMXM-200-B,CC",2025-03-05 00:00:00,2025-03-13 00:00:00,,,5,0,2,2025-03-13 00:00:00,3/13系統領,,,,,,,5,10,,,,,,,,,,,,,,函數,,,,,,,1,,,,,,,
2025-03-03 00:00:00,,85ass,,85-32207-000C,,85E125030227,59-32207-001E 3/1,85-32207-000C,"FM-300,CC",2025-03-03 00:00:00,2025-03-13 00:00:00,2025-03-01 00:00:00,生產過,6,2,0,2025-03-13 00:00:00,組裝(前置作業),6,12,組裝,,,,,,,,,,,,,,,,,,,函數,,,,1,,,,,,,,,,
2025-03-04 00:00:00,,85test,,85-32207-000C,,85E125030227,Coating,85-32207-000C,"FM-300,CC",2025-03-04 00:00:00,2025-03-13 00:00:00,Coating:20分/片,,6,5,20,2025-03-13 00:00:00,轉作COATING,,,,6,0,DIP-Coating,,,,,,,,,,,,,,,,函數,,,,,,1,,,,,,,,
2025-03-05 00:00:00,,85test,,85-32207-000C,,85E125030227,Coating,85-32207-000C,"FM-300,CC",2025-03-05 00:00:00,2025-03-13 00:00:00,,,6,0,2,2025-03-13 00:00:00,3/13系統領,,,,,,,6,12,,,,,,,,,,,,,,函數,,,,,,,,1,,,,,,
2025-03-03 00:00:00,,85ass,,85-32204-001C,,85E125030243,59-32204-004E OK,85-32204-001C,"RCPU-100,CC",2025-03-03 00:00:00,2025-03-13 00:00:00,2025-03-01 00:00:00,生產過,10,2,0,2025-03-13 00:00:00,組裝(前置作業),10,20,組裝,,,,,,,,,,,,,,,,,,,函數,,,,1,,,,,,,,,,
2025-03-04 00:00:00,,85test,,85-32204-001C,,85E125030243,Coating,85-32204-001C,"RCPU-100,CC",2025-03-04 00:00:00,2025-03-13 00:00:00,Coating:60分/片,,10,5,20,2025-03-13 00:00:00,轉作COATING,,,,10,0,DIP-Coating,,,,,,,,,,,,,,,,函數,,,,,,1,,,,,,,,
2025-03-05 00:00:00,,85test,,85-32204-001C,,85E125030243,Coating,85-32204-001C,"RCPU-100,CC",2025-03-05 00:00:00,2025-03-13 00:00:00,,,10,0,2,2025-03-13 00:00:00,3/13系統領,,,,,,,10,20,,,,,,,,,,,,,,函數,,,,,,,,1,,,,,,
2025-03-03 00:00:00,,85ass,,85-65624-008C,,85N125040140,59-65624-0060 OK,85-65624-008C,"PW-201,CC",2025-03-03 00:00:00,2025-03-24 00:00:00,2025-03-01 00:00:00,,5,2,1,2025-03-24 00:00:00,組裝(前置作業),5,15,組裝,,,,,,,,,,,,,,,,,,,函數,,,1,,,,,,,,,,,
2025-03-04 00:00:00,,85test,,85-65624-008C,,85N125040140,Coating,85-65624-008C,"PW-201,CC",2025-03-04 00:00:00,2025-03-24 00:00:00,Coating:25分/片,,5,1,1,2025-03-24 00:00:00,轉作COATING,,,,5,0,DIP-Coating,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
2025-03-05 00:00:00,,85test,,85-65624-008C,,85N125040140,Coating,85-65624-008C,"PW-201,CC",2025-03-05 00:00:00,2025-03-24 00:00:00,2504.93-F0064-113C,,5,1,1,2025-03-24 00:00:00,3/24系統領,,,,,,,5,10,,,,,,,,,,,,,,函數,,,,,,,1,,,,,,,
2025-03-07 00:00:00,,85ass,,85-65624-010C,,85N125020007,59-65624-0110 3/4,85-65624-010C,"PW-201,150W,CC",2025-03-07 00:00:00,2025-03-14 00:00:00,2025-03-01 00:00:00,,50,1,0,2025-03-14 00:00:00,組裝(前置作業),,,,,,,,,,,,,50,50,組裝,,,,,,,函數,,,,,,,,,,,,,,
2025-03-08 00:00:00,,85test,,85-65624-010C,,85N125020007,Coating,85-65624-010C,"PW-201,150W,CC",2025-03-08 00:00:00,2025-03-14 00:00:00,Coating:30分/片,,50,5,20,2025-03-14 00:00:00,轉作COATING,,,,,,,,,,,,,,,,50,0,DIP-Coating,,,,函數,,,,,,,,,,,,,,
2025-03-04 00:00:00,,85ass,,85-72139-R11D,,85R125020059,85-72139-R10D OK,85-72139-R11D,t2Express-RLP-i5-13600HRE-cc/64G/AVA-72,2025-03-04 00:00:00,2025-03-14 00:00:00,5F重工+3/3,,4,1,0,2025-03-14 00:00:00,組裝(前置作業),,,,4,4,組裝,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
2025-03-05 00:00:00,,85test,,85-72139-R11D,,85R125020059,Coating,85-72139-R11D,t2Express-RLP-i5-13600HRE-cc/64G/AVA-72,2025-03-05 00:00:00,2025-03-14 00:00:00,不需重作ETT,,4,1,3,2025-03-14 00:00:00,轉作COATING,,,,,,,4,0,DIP-Coating,,,,,,,,,,,,,函數,,,,,,,1,,,,,,,
3/6~3/10,,85test,,85-72139-R11D,,85R125020059,Coating,85-72139-R11D,t2Express-RLP-i5-13600HRE-cc/64G/AVA-72,3/6~3/10,2025-03-14 00:00:00,,PE(Alan)驗證,4,0,3,2025-03-14 00:00:00,"3/6~3/7 PE(Alan)驗證,3/10接測,3/14系統領",,,,,,,,,,0,0,PE驗證,0,0,PE驗證,,,,,,,函數,,,,,,,,,,,,,,
2025-03-04 00:00:00,,85ass,,85-72139-Q11D,,85R125030019,85-72139-Q10D OK,85-72139-Q11D,t2Express-RLP-i7-13800HRE-cc/64G/AVA-72,2025-03-04 00:00:00,2025-03-14 00:00:00,5F重工+3/3,,2,1,0,2025-03-14 00:00:00,"3/4~3/5 PE(Alan)驗證,3/6接測,組裝(前置作業)",,,,2,2,組裝,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
2025-03-05 00:00:00,,85test,,85-72139-Q11D,,85R125030019,Coating,85-72139-Q11D,t2Express-RLP-i7-13800HRE-cc/64G/AVA-72,2025-03-05 00:00:00,2025-03-14 00:00:00,不需重作ETT,,2,1,3,2025-03-14 00:00:00,轉作COATING,,,,,,,2,0,DIP-Coating,,,,,,,,,,,,,函數,,,,,,,1,,,,,,,
3/6~3/10,,85test,,85-72139-Q11D,,85R125030019,Coating,85-72139-Q11D,t2Express-RLP-i7-13800HRE-cc/64G/AVA-72,3/6~3/10,2025-03-14 00:00:00,,PE(Alan)驗證,2,0,3,2025-03-14 00:00:00,"3/6~3/7 PE(Alan)驗證,3/10接測,3/14系統領",,,,,,,,,,0,0,PE驗證,0,0,PE驗證,,,,,,,函數,,,,,,,,,,,,,,
2025-03-05 00:00:00,,59test,,59-37569-0020,,59N125030092,2025-03-04 00:00:00,59-37569-0020,UNP PB-2719A,2025-03-05 00:00:00,2025-03-07 00:00:00,,,16,0,4,2025-03-07 00:00:00,3/7系統領(重要訂單),,,,,,,16,64,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2/27~3/3,,59test,,59-65624-0110,,59N125020007,2025-02-27 00:00:00,59-65624-0110,"PW-201,150W",2/27~3/3,2025-03-04 00:00:00,,測具*2(單機),52,0,20,2025-03-14 00:00:00,3/7接85N125020007(Coating),32,640,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2/24~3/4,,85ass,,85-96266-100E,,85E125010150,55-96268-000E 1/24+55-96265-001E 2/11,85-96266-100E,PCIe Gen5 System OCP test card,2/24~3/4,2025-03-06 00:00:00,2025-02-21 00:00:00,PE(Allan Yang)驗證,24,5,0,2025-02-13 00:00:00,"2/24~3/3 PE(Allan Yang)驗證,3/4接 組裝,DEV-0053070(僅組裝,不測試),PCC-Emma需求(重要訂單)",0,0,PE驗證,24,120,組裝,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-06 00:00:00,,85ass,,85-31126-0010,,85N125050154,55-31126-0020+55-31127-0010+59-72128-0830 OK,85-31126-0010,PXI-3982/M8G/SSD/Win10,2025-03-06 00:00:00,2025-03-10 00:00:00,2025-03-05 00:00:00,,1,15,0,2025-04-11 00:00:00,組裝,,,,,,,,,,1,15,組裝,,,,,,,,,,函數,,,,,,,,,1,,,,,
2025-03-07 00:00:00,,85test,,85-31126-0010,,85N125050154,,85-31126-0010,PXI-3982/M8G/SSD/Win10,2025-03-07 00:00:00,2025-03-10 00:00:00,,,1,0,40,2025-04-11 00:00:00,,,,,,,,,,,,,,1,40,測試,,,,,,,函數,,,,,,,,,,,1,,,
2025-03-06 00:00:00,,85ass,,85-38902-1030,,85N125030186,55-38902-1030 3/5,85-38902-1030,PXIe-9834,2025-03-06 00:00:00,2025-03-10 00:00:00,,,5,5,0,2025-03-12 00:00:00,組裝(重要訂單),,,,,,,,,,5,25,組裝,,,,,,,,,,函數,,,,,,,,,1,,,,,
2025-03-07 00:00:00,,85test,,85-38902-1030,,85N125030186,,85-38902-1030,PXIe-9834,2025-03-07 00:00:00,2025-03-10 00:00:00,,,5,0,25,2025-03-12 00:00:00,(重要訂單),,,,,,,,,,,,,5,125,測試,,,,,,,函數,,,,,,,,,,,1,,,
2025-03-03 00:00:00,,85ass,,85-18252-0030,,85N124110013,55-14081-0020+55-18252-0030 OK,85-18252-0030,ASM PCIe-9852,2025-03-03 00:00:00,2025-03-05 00:00:00,2025-02-10 00:00:00,,30,5.7,0,2025-03-12 00:00:00,組裝(重要訂單),30,171,組裝,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-04 00:00:00,,85test,,85-18252-0030,,85N124110013,,85-18252-0030,ASM PCIe-9852,2025-03-04 00:00:00,2025-03-05 00:00:00,2411.91-18252-0020,,30,0,15,2025-03-12 00:00:00,(重要訂單),,,,30,450,測試,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2/27~3/5,,59test,,59-48012-00C0,,59N125020292,2025-02-27 00:00:00,59-48012-00C0,UNP CM1-86DX3,2/27~3/5,2025-03-06 00:00:00,可用2機排測,測具*2(單機),164,0,21,2025-03-17 00:00:00,測具2->1套,55,1155,,48,1008,,1,21,,,,,,,,,,,,,,函數,,,,,,,1,,,,,,,
2025-03-06 00:00:00,,85ass,,85-65311-00AE,,85E125040012,55-65472-001E+55-65473-003E+59-72121-1050+85-32104-0040 OK+55-37550-102E+55-65311-009E 3/5,85-65311-00AE,ASM cPCI-C3CST,2025-03-06 00:00:00,2025-03-18 00:00:00,2025-02-24 00:00:00,生產過,15,45,0,2025-03-18 00:00:00,組裝,,,,,,,,,,15,675,組裝,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-07 00:00:00,,85test,,85-65311-00AE,,85E125040012,,85-65311-00AE,ASM cPCI-C3CST,2025-03-07 00:00:00,2025-03-18 00:00:00,,,15,0,10,2025-03-18 00:00:00,Michael需求,,,,,,,,,,,,,15,150,測試,,,,,,,函數,,,,,,,,,,,,,,
2025-03-03 00:00:00,,85ass,,85-65303-031E,,85E125040009,55-65303-032E OK,85-65303-031E,cPCI-3E10CSV2,2025-03-03 00:00:00,2025-03-07 00:00:00,,生產過,3,7,0,2025-03-07 00:00:00,組裝,3,21,組裝,,,,,,,,,,,,,,,,,,,函數,,,1,,,,,,,,,,,
2025-03-04 00:00:00,,85test,,85-65303-031E,,85E125040009,,85-65303-031E,cPCI-3E10CSV2,2025-03-04 00:00:00,2025-03-07 00:00:00,,,3,0,8,2025-03-07 00:00:00,3/7系統領,,,,3,24,測試,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
2025-03-06 00:00:00,,85ass,,85-65320-1020,,85N125030127,55-65320-1020 2/27,85-65320-1020,cPCI-A3525KR/G4930E/M4G,2025-03-06 00:00:00,2025-03-10 00:00:00,2025-03-04 00:00:00,,15,9,0,2025-03-11 00:00:00,組裝,,,,,,,,,,15,135,組裝,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-07 00:00:00,,85test,,85-65320-1020,,85N125030127,,85-65320-1020,cPCI-A3525KR/G4930E/M4G,2025-03-07 00:00:00,2025-03-10 00:00:00,,,15,0,25,2025-03-11 00:00:00,,,,,,,,,,,,,,15,375,測試,,,,,,,函數,,,,,,,,,,,,,,
2025-03-06 00:00:00,,85ass,,85-65320-1030,,85N125030336,55-65320-1020 3/3,85-65320-1030,cPCI-A3525KR/G4930E/M8G,2025-03-06 00:00:00,2025-03-17 00:00:00,2025-03-05 00:00:00,,2,9,0,2025-03-17 00:00:00,"組裝,3/7 PE驗證",,,,,,,,,,2,18,組裝,,,,,,,,,,函數,,,,,,,,,1,,,,,
3/7~3/12,,85test,,85-65320-1030,,85N125030336,55-65320-1020 3/3,85-65320-1030,cPCI-A3525KR/G4930E/M8G,3/7~3/12,2025-03-17 00:00:00,,PE(Kyle)驗證,2,0,25,2025-03-17 00:00:00,"3/7~3/11 PE(Kyle)驗證,3/12接測,Michael需求",,,,,,,,,,,,,0,0,PE驗證,,,,,,,函數,,,,,,,,,,,,,,
2025-03-06 00:00:00,,85ass,,85-65320-2030,,85N125010438,55-65320-2020 OK,85-65320-2030,cPCI-A3525KR/8400H/M16G,2025-03-06 00:00:00,2025-03-17 00:00:00,2025-03-05 00:00:00,,4,9,0,2025-03-17 00:00:00,"組裝,3/7 PE驗證",,,,,,,,,,4,36,組裝,,,,,,,,,,函數,,,,,,,,,1,,,,,
3/7~3/12,,85test,,85-65320-2030,,85N125010438,55-65320-2020 OK,85-65320-2030,cPCI-A3525KR/8400H/M16G,3/7~3/12,2025-03-17 00:00:00,,PE(Kyle)驗證,4,0,25,2025-03-17 00:00:00,"3/7~3/11 PE(Kyle)驗證,3/12接測,Michael需求",,,,,,,,,,,,,0,0,PE驗證,,,,,,,函數,,,,,,,,,,,,,,
2025-03-05 00:00:00,,85test,,92-32503-0010,,91T125030028,,92-32503-0010,cPCI-3538,2025-03-05 00:00:00,2025-03-06 00:00:00,,,51,0,1,2025-03-12 00:00:00,"3/4拆包裝,上海放置3年需重測重包",,,,,,,51,51,測試,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-06 00:00:00,,85ass,,85-31125-0050,,85N124120464,55-31125-0060+59-37545-0050+59-37581-4010 OK,85-31125-0050,cPCI-3630D/E3950/M8G,2025-03-06 00:00:00,2025-03-12 00:00:00,,,1,6.7,0,2025-03-12 00:00:00,組裝,,,,,,,,,,1,6.7,組裝,,,,,,,,,,函數,,,,,,,,,1,,,,,
2025-03-07 00:00:00,,85test,,85-31125-0050,,85N124120464,,85-31125-0050,cPCI-3630D/E3950/M8G,2025-03-07 00:00:00,2025-03-12 00:00:00,,,1,0,20,2025-03-12 00:00:00,產線需求,,,,,,,,,,,,,1,20,測試,,,,,,,函數,,,,,,,,,,,1,,,
2/26~3/5,,59test,,59-72121-A680,,59N125020239,2/25 SMT,59-72121-A680,Express-IBR-i7-3517UE/Td,2/26~3/5,2025-03-06 00:00:00,,,400,0,14.95,2025-03-24 00:00:00,,80,1196,,79,1181.05,,41,612.9499999999999,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-03-04 00:00:00,,59test,,91-72121-A670,,91R125020043,,91-72121-A670,Express-IBR-i7-3517UE/Td,2025-03-04 00:00:00,2025-03-06 00:00:00,5F重工,,1,0,14.95,2025-03-24 00:00:00,AN30重測重包,,,,1,14.95,,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
3/7~3/8,,59test,,59-72128-2330,,59N125030098,2025-03-07 00:00:00,59-72128-2330,Express-SL-i5-6440EQ/Redflex Nirvana,3/7~3/8,2025-03-13 00:00:00,,"測具*8(雙機) 
72128共用",46,0,29.25,2025-03-19 00:00:00,"3/17接85E125030056,測具4套",,,,,,,,,,,,,30,877.5,,16,468,,,,,函數,,,,,,,,,,,,,,
3/3~3/4,,59test,,59-72130-6070,,59N124040358,2025-03-03 00:00:00,59-72130-6070,Express-KLE-E3-1505L v6,3/3~3/4,2025-03-05 00:00:00,,測具*4(單機),80,0,20,2025-03-28 00:00:00,"3/11接85N124040358(ETT),測具2套",40,800,,20,400,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2/25~3/5,,59test,,59-72131-2470,,59N125030019,3F SMT 2/22開始每天*370,59-72131-2470,Express-CF-i3-8100H/ARIS,2/25~3/5,2025-03-06 00:00:00,,"72131與72135共用,測具*4->8(雙機)",1060,0,9.75,2025-03-14 00:00:00,"3/11接85E125020274+85E125030019+85E125030237+85E125030238+85E125030239+85E125030240,測具4套(重要訂單)",240,2340,,240,2340,,95,926.25,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
3/7~3/14,,59test,,59-72131-2470,,59N125020047,3F SMT 3/7開始每天370,59-72131-2470,Express-CF-i3-8100H/ARIS,3/7~3/14,2025-03-17 00:00:00,2503.91-77522-106E-1,"72131與72135共用,測具*4->8(雙機)",1404,0,9.75,2025-03-28 00:00:00,"3/18接85E125020027+85E125030285+85E125030287+85E125030289+85E125030291+85E125030293,測具4套(重要訂單)",,,,,,,,,,,,,200,1950,,180,1755,,,,,函數,,,,,,,,,,,,,,
