Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2025-08-04 00:00:00,Monday,Unnamed: 21,2025-08-05 00:00:00,Tuesday,Unnamed: 24,2025-08-06 00:00:00,Wednesday,Unnamed: 27,2025-08-07 00:00:00,Thursday,Unnamed: 30,2025-08-08 00:00:00,Friday,Unnamed: 33,2025-08-09 00:00:00,Saturday,Unnamed: 36,2025-08-10 00:00:00,Sunday ,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,2025-08-04 00:00:00.1,Unnamed: 44,2025-08-05 00:00:00.1,Unnamed: 46,2025-08-06 00:00:00.1,Unnamed: 48,2025-08-07 00:00:00.1,Unnamed: 50,2025-08-08 00:00:00.1,Unnamed: 52,2025-08-09 00:00:00.1,Unnamed: 54
日期,,線別,,料號,,製令單號,DIP,品號,品名,上線日,完工日,料齊日,說明,工單數量,組裝,測試,交期,備註,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,,,,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10,1~5,6~10
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
00:00:00,,,,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-08-05 00:00:00,,85test,,85-63505-2060,,85T125080011,,85-63505-2060,M9018B BP+Mezz,2025-08-05 00:00:00,2025-08-11 00:00:00,,,1,0,7.5,2025-08-11 00:00:00,8/11系統領,,,,1,7.5,測試,,,,,,,,,,,,,,,,函數,,,,,1,,,,,,,,,
2025-08-06 00:00:00,,59test,,59-63515-0080,,59N125090079,2025-08-05 00:00:00,59-63515-0080,M9019-66501,2025-08-06 00:00:00,2025-08-08 00:00:00,,,50,0,4,2025-08-08 00:00:00,8/8系統領,,,,,,,50,200,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-08-06 00:00:00,,59test,,59-63516-0020,,59N125090080,2025-08-05 00:00:00,59-63516-0020,M9019-66502,2025-08-06 00:00:00,2025-08-08 00:00:00,,,110,0,4,2025-08-08 00:00:00,8/8系統領,,,,,,,110,440,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-08-06 00:00:00,,59test,,59-63516-0020,,59N125100017,2025-08-05 00:00:00,59-63516-0020,M9019-66502,2025-08-06 00:00:00,2025-08-08 00:00:00,,,60,0,4,2025-08-08 00:00:00,8/8系統領,,,,,,,60,240,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-08-06 00:00:00,,59test,,59-63304-0040,,59N125090058,2025-08-05 00:00:00,59-63304-0040,M9049A,2025-08-06 00:00:00,2025-08-07 00:00:00,,測具共用,14,0,20,2025-09-26 00:00:00,,,,,,,,14,280,,,,,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-08-07 00:00:00,,85ass,,85-63539-0040,,85N125090170,55-63539-0030+55-63644-0010+55-63645-0010 OK+59-72135-0330 7/22+55-63646-0010 7/30,85-63539-0040,M9038-60001,2025-08-07 00:00:00,2025-08-11 00:00:00,2025-08-06 00:00:00,,18,20,0,2025-08-15 00:00:00,組裝,,,,,,,,,,18,360,組裝,,,,,,,,,,函數,,,,,,,,,,,,,,
2025-08-08 00:00:00,,85test,,85-63539-0040,,85N125090170,,85-63539-0040,M9038-60001,2025-08-08 00:00:00,2025-08-11 00:00:00,,,18,0,39,2025-08-15 00:00:00,,,,,,,,,,,,,,18,702,測試,,,,,,,函數,,,,,,,,,,,,,,
