Unnamed: 0,週  別,工時/天,加班工時/天,人數,正常總工時/天,加班總工時/天,5天/週,正常總工時/5天,加班總工時/5天,工時,測試數量,產能利用率,Overtime,班別,工時/天.1,人數.1,總工時/天,5天/週.1,總工時/5天
,,,,,,,,,,,,,,正常班,460,17,7820,5,39100
,,,,,,,,,,,,,,正常加班（含夜班）,640,17,10880,5,54400
FT,W01(12.31-01.04),460,180,30,13800,16000,3,69000,96000,8734.5,379,0.12658695652173912,,,,,,,
FT,W02(01.07-01.11),460,180,30,13800,16000,5,69000,96000,51814.5,4338,0.7509347826086956,,,,,,,正常工時
FT,W03(01.14-01.18),460,180,30,13800,16000,5,69000,96000,66582.5,4829,0.964963768115942,,,,,,,加班工時
PK,W01(12.31-01.04),460,180,3,1380,1920,3,4140,5760,2077,4939,0.5016908212560387,,,,,,,已排測
PK,W02(01.07-01.11),460,180,3,1380,1920,5,6900,9600,6412.099999999999,3900,0.9292898550724636,,,,,,,產能利用率
PK,W03(01.14-01.18),460,180,3,1380,1920,5,6900,9600,3698.8999999999996,2278,0.5360724637681159,,,,,,,
