Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
2012-10-22 00:00:00,Monday,,2012-10-23 00:00:00,Tuesday,,2012-10-24 00:00:00,Wednesday,,2012-10-25 00:00:00,Thursday,,2012-10-26 00:00:00,Friday,,2012-10-27 00:00:00,Saturday,,,,2025-04-21 00:00:00,Monday,,2025-04-22 00:00:00,Tuesday,,2025-04-23 00:00:00,Wednesday,,2025-04-24 00:00:00,Thursday,,2025-04-25 00:00:00,Friday,,2025-04-26 00:00:00,Saturday,,2025-04-27 00:00:00,Sunday ,,,,,,,,,
上線日,線別,製令單號,工單數量,工時,,製令單號,,品號,品名,上線日,,BIOS,File name,工單數量,,組裝,測試,領料單,,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,實際生產,總生產量,總生產工時,,,,,,
,,,,,,,,,,,,,,,,,,,,標準工時,15640,,15640,15640,0,15640,13260,,12420,0,,15640,15640,,15640,15640,,13260,12420,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,加班工時,21580,,21580,21580,,21580,19720,,15660,0,,21580,21580,,21580,21580,,19720,15660,,0,,,,愛蜜玲,施佩岑,潔美玲,亞佩絲
,,,,,,,,,,,,,,,,,,,,生產數量,2878,22291.25,2711,2213,23274.800000000003,2566,1933,22584.25,1320,0,,2577,2729,,2313,608,,1808,1391,,0,,,,平西司,邱彥翔,阿立絲,馬莉露
,,,,,,,,,,,,,,,,,,,,生產工時,22291.25,0,23274.800000000003,22584.25,0,22631.05,19613.05,0,11565.5,0,,21406,21726.2,,18364.45,6299,,19398.2,9417,,0,,,,卓維安,周玉珠,瑞姿,雪兒
,,,,,,,,,,,,,,,,,,,,加班產能利用率,1.0329587581093604,0,1.0785356811862836,1.0465361445783132,0,1.0487048192771085,0.9945765720081136,0,0.7385376756066411,0,,0.9919369786839667,1.0067747914735867,,0.8509939759036145,0.2918906394810009,,0.9836815415821502,0.6013409961685824,,0,,,,陸蕾雪,亞思,葛玲,吉莉妮
,,,,,,,,,,,,,,,,,,,,加班工時 ,3.2604166666666665,0,3.7425490196078446,3.4040441176470586,0,3.426985294117647,3.114240196078431,-1,7.139197530864197,-1,,2.8264705882352943,2.98343137254902,0,1.3355147058823533,-4.578921568627451,0,3.0089215686274513,5.812962962962963,0,-1,,,,,瑪其莉,克莉絲,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,暫訂5人教育訓綀,正常產能利用率(週),1.6429495394962146,,,,,,,,,正常產能利用率(週),,1.638970950280893,,,,,美林達,亞拉,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加班產能利用率(週),1.1879699301531639,,,,,,,,,加班產能利用率(週),,1.1816547308232255,,,,,卓希,阿玲,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,馬莉安,珍尼芬,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,莉莎,美珍,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,可力菲恩,美莉珍,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奎妮,克思丁,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蕾迪玲,施琳,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,艾可嵐,吉那玲,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2137681159420288,,,,,,,,,,,,,,,,萊安,,
,,,,,,,,,,,,,,,,,,,,,,,正常工時,加班工時,加班工時,週五工時,,,,0,,,,,,,,,,,,,,,,雷雪兒,,
,,,,,,,,,,,,,,,,,,,,,,,460,640,640,390,,,,,,,,,,,,,,,,,,,,艾狄琳,,
,,,,,,,,,,,,,,,,,,,,人數:,4,,1840,2560,4,1560,,,,,,,,,,,,,,,,,,,,葛雷莎,,
,,,,,,,,,,,,,,,,,,,,DATE,2025-04-21 00:00:00,2012-10-16 00:00:00,2025-04-22 00:00:00,2025-04-23 00:00:00,,2025-04-24 00:00:00,2025-04-25 00:00:00,2012-10-17 00:00:00,2025-04-26 00:00:00,2025-04-27 00:00:00,2012-10-19 00:00:00,2025-04-28 00:00:00,2025-04-29 00:00:00,2012-10-27 00:00:00,2025-04-30 00:00:00,2025-05-01 00:00:00,,2025-05-02 00:00:00,2025-05-03 00:00:00,,2025-05-04 00:00:00,,,,,其拉馬莉,,
,,,,,,,,,,,,,,,,,,,,,M,,T,W,,T,F,,Sat,Sun,,M,T,,W,T,,F,Sat,,Sun,,,,,芮貝卡,,
,,,,,,,,,,,,,,,,,,,,生產工時,2500,2400,2500,2600,2600,2200,2500,2400,1100,0,1100,2600,2600,2600,2200,0,2600,2600,0,2000,0,,,,,蘿絲,,
,,,,,,,,,,,,,,,,,,,,正常產能利用率,1.358695652173913,221.2111111111111,1.358695652173913,1.4130434782608696,0,1.1956521739130435,1.358695652173913,1.3043478260869565,0.5978260869565217,0,221.2277777777778,1.4130434782608696,1.4130434782608696,1.4130434782608696,1.1956521739130435,0,1.4130434782608696,1.4130434782608696,0,1.0869565217391304,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,加班產能利用率,0.9765625,0.9375,0.9765625,1.015625,1.015625,0.859375,0.9765625,0.9375,0.4296875,0,-7.666666666666667,1.015625,1.015625,1.015625,0.859375,0,1.015625,1.015625,0,0.78125,0,,,,,,,
