第17週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,,
2025-04-21 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-21 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-21 00:00:00,投過,A,93N125040463,93-41055-2030,MXE-231/M16G/256G/EVERI,2025-05-21 00:00:00,2025-04-17 00:00:00,198,58,18,0,16.2,,,,0,939.5999999999999,93-41055-20,,
2025-04-21 00:00:00,投過,E,93E125030128,93-F0116-100E,GM-270SG/KGI,2025-04-30 00:00:00,2025-03-20 00:00:00,210,50,,,30,TP-ASSY,,,0,1500,93-F0116-10,,
2025-04-21 00:00:00,投過,A,93N125040209,93-F0114-0020,Verint Edge NVR w/24 ports,2025-04-28 00:00:00,2025-04-11 00:00:00,152,100,18,0,32.95,,,,0,3295.0000000000005,93-F0114-00,,
2025-04-21 00:00:00,投過,A,93N125050150,93-70431-A020,PXES-2785,2025-04-24 00:00:00,2025-04-16 00:00:00,30,30,27,14,,,,,420,0,93-70431-A0,,
2025-04-21 00:00:00,投過,A,93N125050150,93-70431-A020,PXES-2785,2025-04-24 00:00:00,2025-04-16 00:00:00,30,20,,,60,,,,0,1200,93-70431-A0,,
2025-04-21 00:00:00,投過,E,93E125030128,93-F0116-100E,GM-270SG/KGI,2025-04-30 00:00:00,2025-03-20 00:00:00,210,50,18,22,,TP-ASSY,,,1100,0,93-F0116-10,,
2025-04-21 00:00:00,投過,A,93N125020447,93-F0023-0010,STR-TSPI7-070D,2025-04-29 00:00:00,2025-04-18 00:00:00,68,38,18,0,30,,,,0,1140,93-F0023-00,,
2025-04-21 00:00:00,投過,A,93N125050155,93-45103-0230,DLAP-211-JNX 16GB,2025-05-06 00:00:00,2025-04-18 00:00:00,2,2,21,5,20,,,,10,40,93-45103-02,,
2025-04-21 00:00:00,投過,A,93N125050111,93-45103-0050,DLAP-211-JNX,2025-05-06 00:00:00,2025-04-18 00:00:00,10,10,21,5,20,,,,50,200,93-45103-00,,
2025-04-21 00:00:00,投過,E,93N125040489,93-P7000-B310,IM-215H,2025-04-24 00:00:00,2025-04-10 00:00:00,8,8,24,50,,TP-ASSY,,,400,0,93-P7000-B3,,
2025-04-21 00:00:00,投過,A,93N125050248,93-51049-1410,"EOS-JNX-G, AT Mode",2025-04-24 00:00:00,2025-04-18 00:00:00,3,3,14,5,15,,,,15,45,93-51049-14,,
4/21 (一)     加工4 主線14  (8280)  支援DIP -2人 新人+1 測試支援+1,,,,,,,,,,179,,,,10533.6,當日總工時,1995,8359.6,,,
,,,,,,,,,,137,,,,7491.6,IPC,495,6859.6,,,
,,,,,,,,,預計生產,42,,,,3042,IDS,1500,1500,,,
,,,,,,,,,369,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-04-22 00:00:00,,A,93E125030088,93-99724-B06E,Seatex 2U Engine/ETX-BT-J1900,2025-04-23 00:00:00,2025-04-07 00:00:00,40,20,18,0,42,,,,0,840,93-99724-B0,,
2025-04-22 00:00:00,投過,A,93N125050150,93-70431-A020,PXES-2785,2025-04-24 00:00:00,2025-04-16 00:00:00,30,10,,,60,,,,0,600,93-70431-A0,,
2025-04-22 00:00:00,投過,E,93N125040489,93-P7000-B310,IM-215H,2025-04-24 00:00:00,2025-04-10 00:00:00,8,8,,,22.5,TP-ASSY,,,0,180,93-P7000-B3,,
2025-04-22 00:00:00,投過,A,93N125040060,93-F0114-0020,Verint Edge NVR w/24 ports,2025-04-25 00:00:00,2025-03-26 00:00:00,100,5,18,0,32.95,,,機箱不良缺2台,0,164.75,93-F0114-00,,
2025-04-22 00:00:00,投過,A,93N125040209,93-F0114-0020,Verint Edge NVR w/24 ports,2025-04-28 00:00:00,2025-04-11 00:00:00,152,52,18,0,32.95,,,,0,1713.4,93-F0114-00,,
2025-04-22 00:00:00,投過,E,93N125040319,93-P1400-B010,"SP2-21WP-EHL-J6412,4GB, w/ IO, 12V",2025-04-25 00:00:00,2025-04-21 00:00:00,5,5,27,7.5,15,,,,37.5,75,93-P1400-B0,,
2025-04-22 00:00:00,投過,A,93E125030394,93-D2102-1A1E,"MLC-M108, Digomed",2025-04-25 00:00:00,2025-04-21 00:00:00,35,35,21,5,40,,,上午9點半開始生產,175,1400,93-D2102-1A,,
