第15週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,
2025-04-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-04-07 00:00:00,投過,A,93N125030424,93-45103-0320,DLAP-211-Orin NX 8GB,2025-04-09 00:00:00,2025-03-27 00:00:00,9,8,21,5,20,,,1+N,40,160,93-45103-03,
2025-04-07 00:00:00,,A,93E125020307,TPC-41035-0930,TPC-41035-0930 (MXC-6403D),2025-04-15 00:00:00,2025-04-02 00:00:00,2,2,18,0,30,,,,0,60,TPC-41035-0,
2025-04-07 00:00:00,,A,93N125040500,93-45103-1220,DLAP-211-Orin Nano 4GB,2025-04-22 00:00:00,2025-04-02 00:00:00,4,1,21,5,20,,,1+N,5,20,93-45103-12,
2025-04-07 00:00:00,,A,93N125050032,93-70431-9050,P1831,2025-05-13 00:00:00,2025-04-02 00:00:00,7,7,21,14,60,,,,98,420,93-70431-90,
2025-04-07 00:00:00,,E,93E125030038,93-F0116-000E,GM-270S/KGI,2025-04-30 00:00:00,2025-03-14 00:00:00,140,50,27,22,,TP-ASSY,,,1100,0,93-F0116-00,
,,A,93E125040207,93-41058-300C,AVA-7200/5136/32G/A2000,2025-04-28 00:00:00,2025-04-06 00:00:00,5,5,27,,,,,一早需發料給PE Ice,0,0,93-41058-30,
2025-04-07 00:00:00,,E,93E125030038,93-F0116-000E,GM-270S/KGI,2025-04-30 00:00:00,2025-03-14 00:00:00,140,50,,,34,TP-ASSY,,,0,1700,93-F0116-00,
2025-04-07 00:00:00,,A,93N125040508,93-F0089-5310,"EMP-510-6305E,32GB,SSD 128GB,fTPM,CT",2025-04-14 00:00:00,2025-03-31 00:00:00,9,9,18,0,28,,,,0,252,93-F0089-53,
2025-04-07 00:00:00,,A,93R125030164,IPC-1170H-0011,RK620W-M43_I0011,2025-05-02 00:00:00,2025-03-27 00:00:00,1,1,,,54,,,,0,54,IPC-1170H-0,
2025-04-07 00:00:00,,A,93N125030261,AG-M9019A-CFG001A5,M9019A_A5,2025-05-07 00:00:00,2025-04-02 00:00:00,10,10,27,75,76.3,,,,750,763,AG-M9019A-C,
2025-04-07 00:00:00,,A,RMA125030013,AG-M9010-66101,M9010-66101,2025-04-11 00:00:00,,1,1,,,30,,,,0,30,,
2025-04-07 00:00:00,,A,RMA125030014,AG-M9046-60110,M9046-60110,2025-04-11 00:00:00,,1,1,,,30,,,,0,30,,
2025-04-07 00:00:00,,A,RMA125030017,AG-M9010-66101,M9010-66101,2025-04-24 00:00:00,,1,1,,,30,,,,0,30,AG-M9010-66,
2025-04-07 00:00:00,,A,RMA125030018,AG-M9019-66101,M9019-66101,2025-04-24 00:00:00,,1,1,,,30,,,,0,30,AG-M9019-66,
4/7 (一)  加工3 主線11  (6440)  返菲1人 支援DIP 3人(1人會Coating)  ,,,,,,,,,,180,,,,5722,當日總工時,1993,3549,,
,,,,,,,,,,153,,,,2895,IPC,893,1849,,
,,,,,,,,,預計生產,27,,,,2827,IDS,1100,1700,,
,,,,,,,,,147,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-04-08 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-04-08 00:00:00,,A,93E125050038,93-83101-010E,cPCIS-6130R/300W,2025-04-14 00:00:00,2025-04-07 00:00:00,1,1,21,4,35,,,,4,35,93-83101-01,
2025-04-08 00:00:00,,A,93E125020117,93-88002-400E,cPCIS-5080C,2025-04-11 00:00:00,2025-04-07 00:00:00,7,7,18,0,6,,,,0,42,93-88002-40,
2025-04-08 00:00:00,,A,93E125030088,93-99724-B06E,Seatex 2U Engine/ETX-BT-J1900,2025-04-23 00:00:00,2025-04-07 00:00:00,40,20,18,0,42,,,,0,840,93-99724-B0,
