第8週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,,
2025-02-17 00:00:00,,A,93E125020072,93-F0089-911E,EMP-510-i5-BD2,2025-03-10 00:00:00,2025-02-14 00:00:00,10,9,18,0,28,,,,0,252,93-F0089-91,,
2025-02-17 00:00:00,,A,93R125020021,93-45103-0320,DLAP-211-Orin NX 8GB,2025-02-20 00:00:00,00:00:00,1,1,,,5,,,,0,5,93-45103-03,,
2025-02-17 00:00:00,,A,93E125040076,93-45108-4A1E,DLAP-411-Orin 64GB- Stratix,2025-02-24 00:00:00,2025-02-14 00:00:00,5,5,21,5.5,24.5,,,,27.5,122.5,93-45108-4A,,
2025-02-17 00:00:00,,A,93E125020310,T93-13010-0100048,T93-13010-0100048,2025-02-21 00:00:00,2025-02-10 00:00:00,1,1,21,4,54,,,,4,54,T93-13010-0,,
2025-02-17 00:00:00,,A,93E125020311,T93-13010-0100049,T93-13010-0100049,2025-02-21 00:00:00,2025-02-10 00:00:00,1,1,21,4,54,,,,4,54,T93-13010-0,,
2025-02-17 00:00:00,,A,93E125020312,T93-13020-0300002,T93-13020-0300002,2025-02-21 00:00:00,2025-02-10 00:00:00,1,1,21,4,54,,,,4,54,T93-13020-0,,
2025-02-17 00:00:00,,E,93E125020008,93-F0116-100E,GM-270SG/KGI,2025-02-24 00:00:00,2025-02-12 00:00:00,200,50,,,30,TP-ASSY,,,0,1500,93-F0116-10,,
2025-02-17 00:00:00,,E,93E125020008,93-F0116-100E,GM-270SG/KGI,2025-02-24 00:00:00,2025-02-12 00:00:00,200,50,18,22,,TP-ASSY,,,1100,0,93-F0116-10,,
2025-02-17 00:00:00,,A,93N125030110,93-SH201-1020,Image System PC Sku8 11514001,2025-03-05 00:00:00,2025-02-24 00:00:00,40,40,27,27.6,35.5,,,,1104,1420,93-SH201-10,,
2025-02-17 00:00:00,,A,93E125020279,93-41055-1A1E,MXE-231/M8G/6COM/8DIO-ISO,2025-02-21 00:00:00,2025-02-05 00:00:00,5,5,21,5,20,,,,25,100,93-41055-1A,,
2025-02-17 00:00:00,,A,93N125030173,AG-M9010A-CFG001,M9010A,2025-02-21 00:00:00,2025-02-13 00:00:00,20,20,27,75,80,,,SMT被拉回一人,1500,1600,AG-M9010A-C,,
2025-02-17 00:00:00,,A,93N125030174,AG-M9010A-CFG001,M9010A,2025-02-25 00:00:00,2025-02-14 00:00:00,20,5,27,75,80,,,SMT被拉回一人,375,400,AG-M9010A-C,,
2025-02-17 00:00:00,,A,93N125010420,93-70431-A020,PXES-2785,2025-02-20 00:00:00,2025-02-04 00:00:00,10,10,27,14,60,,,2/20中午前入,140,600,93-70431-A0,,
2025-02-17 00:00:00,,A,93N125020386,93-70431-A020,PXES-2785,2025-02-20 00:00:00,2025-02-06 00:00:00,5,5,27,14,60,,,2/20中午前入,70,300,93-70431-A0,,
2025-02-17 00:00:00,,A,93N125020396,93-45103-1310,DLAP-211-Orin Nano 8GB,2025-02-21 00:00:00,2025-02-13 00:00:00,5,5,21,5,20,,,,25,100,93-45103-13,,
2/17  (一)   加工4 主線14  (8280)  ,,,,,,,,,,150,,,,11090,當日總工時,4378.5,6561.5,,,
,,,,,,,,,,132,,,,8472,IPC,3278.5,5061.5,,,
,,,,,,,,,預計生產,18,,,,2618,IDS,1100,1500,,,
