第12週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,
2025-03-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-17 00:00:00,,A,93N125030175,93-SH201-1020,Image System PC Sku8 11514001,2025-03-25 00:00:00,2025-03-14 00:00:00,75,30,27,27.6,35.5,,,,828,1065,93-SH201-10,
2025-03-17 00:00:00,,A,93N125030365,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-03-25 00:00:00,2025-03-15 00:00:00,150,130,18,0,32.95,,,,0,4283.5,93-F0114-01,
2025-03-17 00:00:00,,A,93E125030312,93-F0091-204E,Capsule Axon 2 – 4-port wired,2025-07-01 00:00:00,2025-03-13 00:00:00,180,120,18,0,8,,,PASS需出到90台,0,960,93-F0091-20,
2025-03-17 00:00:00,,A,93N125030448,93-41055-2020,MXE-231/M16G/256G/EVERI,2025-03-25 00:00:00,2025-03-12 00:00:00,200,50,18,0,16.2,,,,0,810,93-41055-20,
2025-03-17 00:00:00,投過,A,93E125030298,IPC-0030S-0001,RK609W-M47_I0001,2025-03-21 00:00:00,2025-03-14 00:00:00,2,2,21,4,54,,,,8,108,IPC-0030S-0,
2025-03-17 00:00:00,,E,93N125030263,93-F0120-0010,GM-070/AGS,2025-03-25 00:00:00,2025-03-14 00:00:00,144,50,,,23,無塵室(TP貼合),,材料跳票29-90070-Y000,0,1150,93-F0120-00,
2025-03-17 00:00:00,,E,93N125030263,93-F0120-0010,GM-070/AGS,2025-03-25 00:00:00,2025-03-14 00:00:00,144,50,18,17,,無塵室(TP貼合),,材料跳票29-90070-Y000,850,0,93-F0120-00,
2025-03-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,
