第23週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,
,投過,A,93E125030114,93-F0016-00HE,Redflex CCU NK6 HALO Computer,2025-07-15 00:00:00,2025-06-10 00:00:00,50,1,,,30,,,,0,30,93-F0016-00,
2025-06-04 00:00:00,投過,A,93N125050055,93-D1207-0050,WM200,2025-06-20 00:00:00,2025-05-15 00:00:00,384,48,,12,36,,,,576,1728,93-D1207-00,
2025-06-04 00:00:00,投過,A,93E125060269,93-F0093-107E,Zoetis Vetscan HUB-AUS,2025-06-12 00:00:00,2025-06-02 00:00:00,240,50,21,11,25.6,,,,550,1280,93-F0093-10,
2025-06-04 00:00:00,投過,A,93N125040609,93-F0114-0030,Verint Edge NVR w/24 ports,2025-06-30 00:00:00,2025-06-02 00:00:00,296,100,18,0,32.95,,,,0,3295.0000000000005,93-F0114-00,
2025-06-04 00:00:00,投過,A,93N125030358,AG-M9046-60110,M9046-60110,2025-06-27 00:00:00,2025-05-14 00:00:00,10,5,,,88,,,,0,440,AG-M9046-60,
2025-06-04 00:00:00,投過,A,93E125050131,93-SHT01-102E,Triton S1 CCP,2025-06-10 00:00:00,2025-06-04 00:00:00,10,10,18,0,42,,,,0,420,93-SHT01-10,
2025-06-04 00:00:00,投過,A,93N125030128,93-70431-A020,PXES-2785,2025-06-13 00:00:00,2025-06-04 00:00:00,45,30,27,14,,,,,420,0,93-70431-A0,
2025-06-04 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-06-04 00:00:00,,A,,,,,,,,,,,,,,0,0,,
6/4 (三) 加工4 主線13.5  (11200)  ,,,,,,,,,,84,,,,8823,當日總工時,1546,7193,,13.7859375
,,,,,,,,,,66,,,,8790,IPC,1546,7178,,
,,,,,,,,,預計生產,18,,,,33,IDS,0,15,,
,,,,,,,,,244,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-06-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-06-05 00:00:00,投過,A,93E125040403,93-80231-341E,cPCIS-6418U/AC/N110/SDVD,2025-06-12 00:00:00,2025-06-04 00:00:00,2,2,21,10,72,,,,20,144,93-80231-34,
2025-06-05 00:00:00,投過,A,93N125040572,AG-M9046-60110,M9046-60110,2025-06-12 00:00:00,2025-05-14 00:00:00,10,5,,,88,,,,0,440,AG-M9046-60,
2025-06-05 00:00:00,投過,A,93E125040401,TPC-41044-0540,TPC-41044-0540 (MVP-6123-1E),2025-06-11 00:00:00,2025-06-04 00:00:00,1,1,18,0,30,,,,0,30,TPC-41044-0,
2025-06-05 00:00:00,投過,A,93N125030128,93-70431-A020,PXES-2785,2025-06-13 00:00:00,2025-06-04 00:00:00,45,30,,,60,,,,0,1800,93-70431-A0,
2025-06-05 00:00:00,投過,A,93E125060269,93-F0093-107E,Zoetis Vetscan HUB-AUS,2025-06-12 00:00:00,2025-06-02 00:00:00,240,51,21,11,25.6,,,,561,1305.6000000000001,93-F0093-10,
2025-06-05 00:00:00,投過,A,93N125060285,93-41045-E840,Dell Embedded Gateway EGW-5200-0MXTMC,2025-06-12 00:00:00,2025-06-05 00:00:00,66,30,30,20.3,28.8,,,,609,864,93-41045-E8,
2025-06-05 00:00:00,投過,A,93N125040609,93-F0114-0030,Verint Edge NVR w/24 ports,2025-06-30 00:00:00,2025-06-02 00:00:00,296,100,18,0,32.95,,,,0,3295.0000000000005,93-F0114-00,
2025-06-05 00:00:00,投過,E,93E125030373,93-P6000-B50E,CTM-22W-M-PM,2025-06-12 00:00:00,2025-05-27 00:00:00,1,1,18,7,15,無生產紀錄++,,1+N,7,15,93-P6000-B5,
2025-06-05 00:00:00,投過,E,93E125030375,93-P6000-830E,CTM-18W-M-PM,2025-06-13 00:00:00,2025-05-27 00:00:00,1,1,18,7,15,無生產紀錄++,,1+N,7,15,93-P6000-83,
2025-06-05 00:00:00,投過,E,93N125060468,93-F0120-0020,GM-070/AGS,2025-06-13 00:00:00,2025-06-12 00:00:00,180,50,18,17,,無塵室(TP貼合),,客人要看,850,0,93-F0120-00,
2025-06-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-06-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-06-05 00:00:00,,A,,,,,,,,,,,,,,0,0,,
6/5 (四)     加工4 主線14.5  (11840)  測試支援1人,,,,,,,,,,162,,,,10124.6,當日總工時,2054,7908.6,,15.8196875
,,,,,,,,,,,,,,,IPC,,,,
,,,,,,,,,預計生產,,,,,,IDS,,,,
,,,,,,,,,271,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-06-06 00:00:00,投過,E,93E125050113,93-P1600-600E,"SP2-15WP-MTL-125H,8GB,128GB,12V,IO",2025-06-11 00:00:00,2025-05-12 00:00:00,2,1,18,7.5,15,,,1+N,7.5,15,93-P1600-60,
2025-06-06 00:00:00,投過,A,93E125040326,TPC-41055-0000,TPC-41055-0000 (MXE-231),2025-06-11 00:00:00,,1,1,18,0,30,,,,0,30,TPC-41055-0,
2025-06-06 00:00:00,投過,A,93E125060107,IPC-100N6-T026,RK410W-13E2-E43/WRE_IT026,2025-06-12 00:00:00,2025-06-05 00:00:00,1,1,21,4,54,,,,4,54,IPC-100N6-T,
2025-06-06 00:00:00,投過,A,93E125050157,IPC-100N5-U022,RK410W-13E4-E43_IU022,2025-06-11 00:00:00,2025-06-02 00:00:00,4,4,21,4,54,,,,16,216,IPC-100N5-U,
2025-06-06 00:00:00,投過,A,93N125030128,93-70431-A020,PXES-2785,2025-06-13 00:00:00,2025-06-04 00:00:00,45,15,27,14,60,,,,210,900,93-70431-A0,
2025-06-06 00:00:00,投過,A,93E125060291,93-41052-7E0E,MVP-5205E-2x512GB-EVERI-160W,2025-06-12 00:00:00,2025-06-01 00:00:00,17,16,,,26,,,1+N,0,416,93-41052-7E,
2025-06-06 00:00:00,投過,A,93E125060269,93-F0093-107E,Zoetis Vetscan HUB-AUS,2025-06-12 00:00:00,2025-06-02 00:00:00,240,50,21,11,25.6,,,,550,1280,93-F0093-10,
2025-06-06 00:00:00,投過,A,93N125060285,93-41045-E840,Dell Embedded Gateway EGW-5200-0MXTMC,2025-06-12 00:00:00,2025-06-05 00:00:00,66,36,,20.3,28.8,,,,730.8000000000001,1036.8,93-41045-E8,
2025-06-06 00:00:00,投過,A,93E125060002,IPC-1170L-0024,RK620W-M45_I0024,2025-06-12 00:00:00,2025-06-05 00:00:00,1,1,21,4,54,,,,4,54,IPC-1170L-0,
2025-06-06 00:00:00,投過,A,93E125060026,93-SHT01-102E,Triton S1 CCP,2025-06-12 00:00:00,2025-06-04 00:00:00,45,20,18,0,42,,,,0,840,93-SHT01-10,
2025-06-06 00:00:00,投過,A,93N125040609,93-F0114-0030,Verint Edge NVR w/24 ports,2025-06-30 00:00:00,2025-06-02 00:00:00,296,93,18,0,32.95,,,,0,3064.3500000000004,93-F0114-00,
2025-06-06 00:00:00,投過,A,93E125070101,93-D2302-130E,MLC-M307,2025-06-19 00:00:00,2025-06-05 00:00:00,1,1,21,4.9,27.6,,,1+N,4.9,27.6,93-D2302-13,
2025-06-06 00:00:00,投過,E,93N125060468,93-F0120-0020,GM-070/AGS,2025-06-13 00:00:00,2025-06-12 00:00:00,180,40,,,23,無塵室(TP貼合),,客人要看,0,920,93-F0120-00,
2025-06-06 00:00:00,投過,E,93N125060468,93-F0120-0020,GM-070/AGS,2025-06-13 00:00:00,2025-06-12 00:00:00,180,40,18,17,,無塵室(TP貼合),,客人要看,680,0,93-F0120-00,
2025-06-06 00:00:00,,A,,,,,,,,,,,,,,0,0,,
6/6 (五) 加工4 主線14.5  (11840)  測試支援1人,,,,,,,,,,222,,,,11282.95,當日總工時,2207.2000000000003,8853.75,,17.629609375
,,,,,,,,,,183,,,,8147.099999999999,IPC,2202.3,5761.799999999999,,
,,,,,,,,,預計生產,39,,,,3135.8500000000004,IDS,4.9,3091.9500000000003,,
,,,,,,,,,590,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-06-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-06-07 00:00:00,投過,A,93E125060026,93-SHT01-102E,Triton S1 CCP,2025-06-12 00:00:00,2025-06-04 00:00:00,45,25,18,0,42,,,,0,1050,93-SHT01-10,
2025-06-07 00:00:00,投過,A,93E125060132,93-DN000-D10E,MLB-3102-i7-12700E/M16GB/256GB/A1000,2025-06-23 00:00:00,2025-06-06 00:00:00,1,1,27,,,,,1+N,0,0,93-DN000-D1,
2025-06-07 00:00:00,投過,A,93N125060387,93-45103-0320,DLAP-211-Orin NX 8GB,2025-06-13 00:00:00,2025-06-06 00:00:00,4,4,21,5,20,,,,20,80,93-45103-03,
2025-06-07 00:00:00,投過,A,93E125050376,IPC-101N7-U000,RK410CW-13E4-E47_IU000,2025-06-10 00:00:00,2025-06-04 00:00:00,1,1,21,4,54,,,,4,54,IPC-101N7-U,
2025-06-07 00:00:00,投過,A,93E125050319,IPC-117N7-U006,RK620W-13E4-E47_IU006,2025-06-13 00:00:00,2025-06-06 00:00:00,3,3,21,4,54,,,,12,162,IPC-117N7-U,
2025-06-07 00:00:00,投過,E,93N125060468,93-F0120-0020,GM-070/AGS,2025-06-13 00:00:00,2025-06-12 00:00:00,180,30,,,23,無塵室(TP貼合),,,0,690,93-F0120-00,
2025-06-07 00:00:00,投過,E,93N125060468,93-F0120-0020,GM-070/AGS,2025-06-13 00:00:00,2025-06-12 00:00:00,180,30,18,17,,無塵室(TP貼合),,,510,0,93-F0120-00,
2025-06-07 00:00:00,投過,A,93E125060194,IPC-101N5-T008,RK410CW-13E2-E43_IT008,2025-06-13 00:00:00,2025-06-06 00:00:00,5,5,21,4,54,,,,20,270,IPC-101N5-T,
2025-06-07 00:00:00,投過,A,93E125070028,IPC-117N5-U018,RK620W-13E4-E43_IU018,2025-06-11 00:00:00,2025-06-05 00:00:00,5,5,21,4,54,,,,20,270,IPC-117N5-U,
