第11週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,
2025-03-10 00:00:00,投過,A,93E125020201,93-F0019-100C,Redflex NK7 Halo Computer 12MP 95%,2025-03-17 00:00:00,2025-03-07 00:00:00,6,6,27,75.9,126,,,,455.40000000000003,756,93-F0019-10,
2025-03-10 00:00:00,投過,A,93E125030272,93-41055-600E,MXE-232/M8G,2025-03-20 00:00:00,2025-03-07 00:00:00,8,8,21,5,20,,,,40,160,93-41055-60,
2025-03-10 00:00:00,投過,A,93E125020238,93-41055-600E,MXE-232/M8G,2025-03-12 00:00:00,2025-03-07 00:00:00,2,2,21,5,20,,,,10,40,93-41055-60,
2025-03-10 00:00:00,投過,E,93E125020108,93-P1501-000E,"SP2-IMX8-B-8GB-32GB,12V,CT",2025-03-21 00:00:00,2025-03-07 00:00:00,2,1,18,0,18,,,1+N,0,18,93-P1501-00,
2025-03-10 00:00:00,投過,A,93N125030033,AG-M9505A-CFG002,M9505A-CFG002,2025-03-27 00:00:00,2025-03-06 00:00:00,39,10,18,13,60,,,,130,600,AG-M9505A-C,
2025-03-10 00:00:00,投過,A,93E125030172,93-45108-2A0E,DLAP-411-Orin 64GB w/ 10GbE- Dubrulle,2025-03-25 00:00:00,2025-03-07 00:00:00,6,6,21,4,20,,,,24,120,93-45108-2A,
2025-03-10 00:00:00,投過,A,93E125030008,93-F0091-104E,Capsule Axon 2 – 4-port,2025-07-02 00:00:00,2025-03-06 00:00:00,180,60,18,0,9,,,,0,540,93-F0091-10,
2025-03-10 00:00:00,投過,A,93N125030033,AG-M9505A-CFG002,M9505A-CFG002,2025-03-27 00:00:00,2025-03-06 00:00:00,39,10,18,13,,,,,130,0,AG-M9505A-C,
2025-03-10 00:00:00,投過,A,93E125010206,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-03-17 00:00:00,2025-03-10 00:00:00,116,50,21,11,25.6,,,,550,1280,93-F0093-40,
2025-03-10 00:00:00,投過,A,93R125030033,93-G1000-0010,"EMP-100-J6412, 8GB, 128GB, TPM, CT",2025-04-07 00:00:00,2025-03-04 00:00:00,45,45,,,6.89,,,,0,310.05,93-G1000-00,
2025-03-10 00:00:00,投過,A,93E125040031,93-F0089-911E,EMP-510-i5-BD2,2025-04-17 00:00:00,2025-03-21 00:00:00,10,1,18,0,28,,,59-66046-4210 板端還在維修中缺2,0,28,93-F0089-91,
2025-03-10 00:00:00,投過,A,93R125030034,93-G1000-100E,"EMP-100-N6210, 8GB, 128GB, TPM, CT",2025-04-07 00:00:00,2025-03-04 00:00:00,8,8,,,22,,,,0,176,93-G1000-10,
2025-03-10 00:00:00,投過,A,93N125030347,93-45103-0320,DLAP-211-Orin NX 8GB,2025-03-24 00:00:00,2025-03-07 00:00:00,120,100,21,5,20,,,,500,2000,93-45103-03,
2025-03-10 00:00:00,,A,,,,,,,,,,,,,,0,0,,
3/10 (一)   加工4 主線14  (8280)  ,,,,,,,,,,222,,,,8089.450000000001,當日總工時,1839.4,6028.05,,
,,,,,,,,,,204,,,,8053.450000000001,IPC,1839.4,6010.05,,
,,,,,,,,,預計生產,18,,,,36,IDS,0,18,,
,,,,,,,,,307,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-03-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-11 00:00:00,,A,93E125010206,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-03-17 00:00:00,2025-03-10 00:00:00,116,50,21,11,0,,,,550,0,93-F0093-40,
2025-03-11 00:00:00,,A,93E125030276,93-80212-601E,cPCIS-6230R/64/N110/NCD,2025-03-14 00:00:00,2025-03-10 00:00:00,1,1,21,5,62,,,,5,62,93-80212-60,
2025-03-11 00:00:00,,A,93N125030033,AG-M9505A-CFG002,M9505A-CFG002,2025-03-27 00:00:00,2025-03-06 00:00:00,39,10,,,60,,,,0,600,AG-M9505A-C,
2025-03-11 00:00:00,投過,A,93N125030347,93-45103-0320,DLAP-211-Orin NX 8GB,2025-03-24 00:00:00,2025-03-07 00:00:00,120,20,21,5,20,,,,100,400,93-45103-03,
2025-03-11 00:00:00,,A,93E125020313,IPC-100N7-U000,RK410W-13E4-E47_IU000,2025-03-14 00:00:00,2025-03-10 00:00:00,1,1,21,4,54,,,,4,54,IPC-100N7-U,
2025-03-11 00:00:00,,A,93N125020408,93-F0114-0020,Verint Edge NVR w/24 ports,2025-04-01 00:00:00,2025-03-10 00:00:00,150,150,18,0,32.95,,,,0,4942.5,93-F0114-00,
2025-03-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-11 00:00:00,,A,,,,,,,,,,,,,,0,0,,
3/11 (二)  加工4 主線14  (8280)  ,,,,,,,,,,102,,,,6819.5,當日總工時,659,6058.5,,
,,,,,,,,,,102,,,,6819.5,IPC,659,6058.5,,
,,,,,,,,,預計生產,0,,,,0,IDS,0,0,,
,,,,,,,,,232,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-03-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-12 00:00:00,,E,93E125030034,93-P1500-230E,"SP2-10WP-IMX8-8GB,32GB,12V,rear cover",2025-03-18 00:00:00,2025-03-11 00:00:00,22,22,27,7,18,,,急件優先生產,154,396,93-P1500-23,
2025-03-12 00:00:00,,A,93E125020296,93-D2302-A01E,MLC-M700,2025-03-14 00:00:00,2025-03-03 00:00:00,14,14,18,15,40,,,,210,560,93-D2302-A0,
2025-03-12 00:00:00,,A,93E125010206,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-03-17 00:00:00,2025-03-10 00:00:00,116,50,,0,25.6,,,,0,1280,93-F0093-40,
2025-03-12 00:00:00,,A,93E125010206,93-F0093-404E,Zoetis Vetscan HUB-EU,2025-03-17 00:00:00,2025-03-10 00:00:00,116,16,,11,25.6,,,,176,409.6,93-F0093-40,
2025-03-12 00:00:00,,A,93N125030033,AG-M9505A-CFG002,M9505A-CFG002,2025-03-27 00:00:00,2025-03-06 00:00:00,39,14,18,13,60,,,,182,840,AG-M9505A-C,
2025-03-12 00:00:00,,A,93E125020320,IPC-100N6-T024,RK410W-13E2-E43/WRE_IT024,2025-03-21 00:00:00,2025-03-11 00:00:00,1,1,21,4,54,,,,4,54,IPC-100N6-T,
2025-03-12 00:00:00,,A,93N125030032,93-F0114-0020,Verint Edge NVR w/24 ports,2025-03-22 00:00:00,2025-03-11 00:00:00,150,150,18,0,32.95,,,,0,4942.5,93-F0114-00,
2025-03-12 00:00:00,,A,93E125020285,93-99B00-407E,AADP-64,2025-03-21 00:00:00,2025-03-11 00:00:00,1,1,18,0,6,,,1+N,0,6,93-99B00-40,
2025-03-12 00:00:00,,A,93E124050450,93-99B00-914E,I-AADP-128,2025-03-24 00:00:00,2025-03-11 00:00:00,5,1,18,0,6,,,1+N,0,6,93-99B00-91,
2025-03-12 00:00:00,,A,93N125040273,93-51049-1410,"EOS-JNX-G, AT Mode",2025-03-18 00:00:00,2025-03-11 00:00:00,1,1,14,5,15,,,,5,15,93-51049-14,
2025-03-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-12 00:00:00,,A,,,,,,,,,,,,,,0,0,,
3/12 (三)  加工4 主線14  (8280)  ,,,,,,,,,,152,,,,9392.1,當日總工時,731,8509.1,,14.67515625
,,,,,,,,,,134,,,,9214.1,IPC,577,8503.1,,
,,,,,,,,,預計生產,18,,,,178,IDS,154,6,,
,,,,,,,,,270,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-03-13 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-13 00:00:00,,A,93E125020124,93-99B00-317E,I-AADP-32,2025-03-24 00:00:00,2025-03-12 00:00:00,4,4,18,0,6,,,,0,24,93-99B00-31,
,,A,93E125030179,93-41058-B00C,AVA-7200/H7138/32G/A4500,2025-04-23 00:00:00,2025-03-12 00:00:00,3,3,27,,,,,,0,0,93-41058-B0,
2025-03-13 00:00:00,,A,93R125030009,CPC-00000-202,cPCIS-2629CS/C3CST/3544D/4T,2025-03-31 00:00:00,2025-03-11 00:00:00,12,12,27,0,110,,,,0,1320,CPC-00000-2,
2025-03-13 00:00:00,,A,93N125030448,93-41055-2020,MXE-231/M16G/256G/EVERI,2025-03-25 00:00:00,2025-03-12 00:00:00,200,25,18,0,16.2,,,,0,405,93-41055-20,
2025-03-13 00:00:00,,A,93E125040073,TPC-41044-0470,TPC-41044-0470(MVP-614A-3E),2025-03-19 00:00:00,2025-03-12 00:00:00,2,2,18,0,30,,,,0,60,TPC-41044-0,
2025-03-13 00:00:00,,A,93N124100635,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-03-17 00:00:00,2025-03-12 00:00:00,150,150,18,0,32.95,,,,0,4942.5,93-F0114-01,
2025-03-13 00:00:00,,E,93E125020172,93-P5300-B50E,"Titan2-21WP-TGL-i3,8G,128GB,RFID,Downs",2025-03-18 00:00:00,2025-03-12 00:00:00,18,10,,,25,無塵室(TP貼合)+Off LINE(封邊膠)因封邊膠完Silicon需固化24Hr,,,0,250,93-P5300-B5,
2025-03-13 00:00:00,,A,93E125020325,IPC-126N5-W003,RK410B-W13E8-E43_IW003,2025-03-26 00:00:00,2025-03-12 00:00:00,1,1,21,4,54,,,,4,54,IPC-126N5-W,
2025-03-13 00:00:00,,A,93E125030117,93-D2102-030E,MLC-M111,2025-05-26 00:00:00,2025-02-24 00:00:00,23,22,,,27.6,,,1+N,0,607.2,93-D2102-03,
2025-03-13 00:00:00,,A,93N125030192,93-70428-1030,PXES-2590/CN,2025-04-02 00:00:00,2025-03-12 00:00:00,17,2,21,35,40,,,,70,80,93-70428-10,
2025-03-13 00:00:00,,A,93N125030192,93-70428-1030,PXES-2590/CN,2025-04-02 00:00:00,2025-03-12 00:00:00,17,15,,35,,,,,525,0,93-70428-10,
2025-03-13 00:00:00,,A,93E125030032,93-F0092-004E,Capsule Axon 2 – 8-port,2025-07-03 00:00:00,2025-03-10 00:00:00,320,80,18,0,9,,,,0,720,93-F0092-00,
2025-03-13 00:00:00,,E,93N125020476,93-P1400-6010,"SP2-15WP-EHL-J6412,4GB, w/ IO, 12V",2025-03-17 00:00:00,2025-03-11 00:00:00,1,1,27,7.5,15,,,,7.5,15,93-P1400-60,
2025-03-13 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-13 00:00:00,,A,,,,,,,,,,,,,,0,0,,
3/13 (四)    加工4 主線14  (8280)  ,,,,,,,,,,213,,,,9297.2,當日總工時,606.5,8477.7,,14.526875
,,,,,,,,,,,,,,,IPC,,,,
,,,,,,,,,預計生產,,,,,,IDS,,,,
,,,,,,,,,327,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-03-14 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-03-14 00:00:00,,A,93N125040094,93-41031-1060-10,MXC-2300-3E1,2025-04-07 00:00:00,2025-03-13 00:00:00,10,10,21,4,30,,,,40,300,93-41031-10,
2025-03-14 00:00:00,,A,93N125030448,93-41055-2020,MXE-231/M16G/256G/EVERI,2025-03-25 00:00:00,2025-03-12 00:00:00,200,75,18,0,16.2,,,,0,1215,93-41055-20,
2025-03-14 00:00:00,,A,93E125010342,IPC-3100Y-0000,RK500WL-C47H_I0000,2025-03-18 00:00:00,2025-03-07 00:00:00,1,1,21,4,54,,,,4,54,IPC-3100Y-0,
2025-03-14 00:00:00,,A,93E125020302,IPC-3100Y-0004,RK500WL-C47H_I0004,2025-03-18 00:00:00,2025-03-03 00:00:00,1,1,21,4,54,,,,4,54,IPC-3100Y-0,
2025-03-14 00:00:00,,A,93R125020107,93-41056-002E,ADM-AL30/i9-12900E/RTX 4000 SFF/128G,2025-03-26 00:00:00,2025-03-13 00:00:00,2,2,,,5,,,,0,10,93-41056-00,
2025-03-14 00:00:00,,A,93N125030219,93-45R03-1110,"ROScube-X, w/AD-GMSL2, RQX-59G",2025-03-19 00:00:00,2025-03-13 00:00:00,4,4,21,10,15,,,,40,60,93-45R03-11,
2025-03-14 00:00:00,,A,93E125030032,93-F0092-004E,Capsule Axon 2 – 8-port,2025-07-03 00:00:00,2025-03-10 00:00:00,320,80,18,0,9,,,,0,720,93-F0092-00,
2025-03-14 00:00:00,,A,93N125030471,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-03-17 00:00:00,2025-03-13 00:00:00,1,1,18,0,32.95,,,,0,32.95,93-F0114-01,
