第16週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,,
2025-04-15 00:00:00,投過,A,93R125040008,CPC-00000-202,cPCIS-2629CS/C3CST/3544D/4T,2025-04-24 00:00:00,2025-04-14 00:00:00,2,2,27,,30,,,,0,60,CPC-00000-2,,
2025-04-15 00:00:00,投過,E,93N125040125,93-F0120-0010,GM-070/AGS,2025-04-28 00:00:00,2025-04-07 00:00:00,396,50,,,23,無塵室(TP貼合),146,,0,1150,93-F0120-00,,
2025-04-15 00:00:00,投過,E,93N125040125,93-F0120-0010,GM-070/AGS,2025-04-28 00:00:00,2025-04-07 00:00:00,396,50,,17,,無塵室(TP貼合),,,850,0,93-F0120-00,,
2025-04-15 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
4/15 (二)     加工3 主線12  (6900)   支援DIP 2人,,,,,,,,,,210,,,,9208.5,當日總工時,1895,7103.5,,,
,,,,,,,,,,183,,,,7056.5,IPC,1010,5863.5,,,
,,,,,,,,,預計生產,27,,,,2152,IDS,885,1240,,,
,,,,,,,,,296,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-04-16 00:00:00,投過,A,93N125040491,93-41052-7A30,MVP-5205E-EVERI-160W,2025-04-21 00:00:00,2025-04-11 00:00:00,57,17,21,4.3,26,,,,73.1,442,93-41052-7A,,
2025-04-16 00:00:00,投過,A,93N125050075,AG-N5511-60110,N5511-60110,2025-04-24 00:00:00,2025-04-14 00:00:00,5,5,,,82.6,,,"31-32313-0040 因產線超領,只能生產4台",0,413,AG-N5511-60,,
2025-04-16 00:00:00,投過,A,93N125020361,AG-M9046-60110,M9046-60110,2025-04-28 00:00:00,2025-03-28 00:00:00,30,5,36,76,88,,,,380,440,AG-M9046-60,,
2025-04-16 00:00:00,,A,93N125020361,AG-M9046-60110,M9046-60110,2025-04-28 00:00:00,2025-03-28 00:00:00,30,5,,76,,,,,380,0,AG-M9046-60,,
2025-04-16 00:00:00,投過,A,RMA125040002,AG-M9019-60130,M9019-60130,2025-04-21 00:00:00,,1,1,,,30,,,,0,30,AG-M9019-60,,
2025-04-16 00:00:00,投過,A,93E125010010,93-SHT01-011E,Triton S1 TCP,2025-04-18 00:00:00,2025-03-25 00:00:00,45,9,,0,42,,,34-35041-0020-A0*9不良,0,378,93-SHT01-01,,
2025-04-16 00:00:00,投過,A,93N125040008,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-05-30 00:00:00,2025-04-15 00:00:00,250,55,18,0,32.95,,,,0,1812.2500000000002,93-F0114-01,,
2025-04-16 00:00:00,投過,A,93E125030418,IPC-100N5-U025,RK410W-13E4-E43_IU025,2025-04-22 00:00:00,2025-04-15 00:00:00,1,1,21,4,54,,,,4,54,IPC-100N5-U,,
2025-04-16 00:00:00,投過,A,93E125050073,93-D2302-1800,MLC-M312,2025-04-24 00:00:00,2025-04-14 00:00:00,1,1,21,4.9,27.6,,,1+N,4.9,27.6,93-D2302-18,,
2025-04-16 00:00:00,投過,A,93E125040358,T93-13018-0200007,T93-13018-0200007,2025-04-28 00:00:00,2025-04-10 00:00:00,1,1,21,4,54,,,,4,54,T93-13018-0,,
2025-04-16 00:00:00,投過,A,93E125040289,IPC-1170T-0016,RK620W-M47H_I0016,2025-04-22 00:00:00,2025-04-15 00:00:00,1,1,21,4,54,,,,4,54,IPC-1170T-0,,
2025-04-16 00:00:00,投過,A,93E125020116,APC-CS003-0010,APC-CS003-0000,2025-04-25 00:00:00,2025-04-14 00:00:00,7,7,21,4,54,,,,28,378,APC-CS003-0,,
2025-04-16 00:00:00,投過,A,93E125020084,93-D2102-020E,"MLC-M109, Biomedica",2025-04-23 00:00:00,2025-04-14 00:00:00,28,14,21,4.9,27.6,,,,68.60000000000001,386.40000000000003,93-D2102-02,,
2025-04-16 00:00:00,投過,A,93N125040241,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-04-23 00:00:00,2025-04-16 00:00:00,250,45,18,0,32.95,,,,0,1482.7500000000002,93-F0114-01,,
2025-04-16 00:00:00,投過,E,93N125040125,93-F0120-0010,GM-070/AGS,2025-04-28 00:00:00,2025-04-07 00:00:00,396,50,,,23,無塵室(TP貼合),96,,0,1150,93-F0120-00,,
2025-04-16 00:00:00,投過,E,93N125040125,93-F0120-0010,GM-070/AGS,2025-04-28 00:00:00,2025-04-07 00:00:00,396,50,,17,,無塵室(TP貼合),,,850,0,93-F0120-00,,
2025-04-16 00:00:00,投過,A,93E125050047,93-45R03-002E,"ROScube-X, RQX-590",2025-04-30 00:00:00,2025-04-14 00:00:00,3,3,21,10,15,,,,30,45,93-45R03-00,,
2025-04-16 00:00:00,投過,A,93E125040361,T93-13014-0300041,T93-13014-0300041,2025-05-05 00:00:00,2025-04-14 00:00:00,2,2,21,4,54,,,,8,108,T93-13014-0,,
2025-04-16 00:00:00,投過,A,93E125040207,93-41058-300C,AVA-7200/5136/32G/A2000,2025-04-28 00:00:00,2025-04-06 00:00:00,5,4,27,33.5,48,,,,134,192,93-41058-30,,
4/16 (三)加工3 主線12  (6900)  返菲1人 支援DIP 2人,,,,,,,,,,288,,,,9703.6,當日總工時,1968.6,7447,,15.161875,
,,,,,,,,,,240,,,,6623.6,IPC,-813.4000000000001,7147,,,
,,,,,,,,,預計生產,48,,,,3080,IDS,2782,300,,,
,,,,,,,,,276,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-04-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-17 00:00:00,投過,A,93N125020361,AG-M9046-60110,M9046-60110,2025-04-28 00:00:00,2025-03-28 00:00:00,30,5,,,88,,,,0,440,AG-M9046-60,,
2025-04-17 00:00:00,投過,A,93N125020361,AG-M9046-60110,M9046-60110,2025-04-28 00:00:00,2025-03-28 00:00:00,30,5,,76,88,,,,380,440,AG-M9046-60,,
2025-04-17 00:00:00,投過,A,93N125040532,93-70423-5040,PXIS-2719A,2025-04-22 00:00:00,2025-04-16 00:00:00,1,1,24,20,60,,,,20,60,93-70423-50,,
2025-04-17 00:00:00,投過,A,93E125030065,93-45202-000E,DLAP-4107R/M16G,2025-04-28 00:00:00,2025-04-16 00:00:00,15,1,24,7,15,,,1+N,7,15,93-45202-00,,
2025-04-17 00:00:00,投過,A,93E125040310,93-45202-100E,DLAP-4105R/M16G/S128GB,2025-04-23 00:00:00,2025-04-16 00:00:00,13,13,24,7,15,,,,91,195,93-45202-10,,
2025-04-17 00:00:00,投過,A,93E125020084,93-D2102-020E,"MLC-M109, Biomedica",2025-04-23 00:00:00,2025-04-14 00:00:00,28,14,21,4.9,27.6,,,,68.60000000000001,386.40000000000003,93-D2102-02,,
2025-04-17 00:00:00,投過,A,93E125040221,TPC-41044-0530,TPC-41044-0530 (MVP-614A-3E),2025-04-23 00:00:00,2025-04-16 00:00:00,1,1,18,0,30,,,,0,30,TPC-41044-0,,
2025-04-17 00:00:00,投過,A,93E125030326,IPC-100N7-U000,RK410W-13E4-E47_IU000,2025-04-23 00:00:00,2025-04-16 00:00:00,2,2,21,4,54,,,,8,108,IPC-100N7-U,,
2025-04-17 00:00:00,投過,A,93E124120422,93-SHT01-002E,Triton S3 CCP,2025-05-07 00:00:00,2025-04-16 00:00:00,7,1,18,30,42,,,1+N 下午1點組PM要看,30,42,93-SHT01-00,,
2025-04-17 00:00:00,投過,A,93N125040008,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-05-30 00:00:00,2025-04-15 00:00:00,250,145,18,0,32.95,,,,0,4777.75,93-F0114-01,,
2025-04-17 00:00:00,投過,A,93N125030281,93-70801-003,cPCIS-2501/AC,2025-04-22 00:00:00,2025-04-16 00:00:00,3,3,21,4,40,,,,12,120,93-70801-00,,
2025-04-17 00:00:00,投過,A,93E125050063,TPC-41044-0520,TPC-41044-0520 (MVP-6122-1E),2025-04-23 00:00:00,2025-04-16 00:00:00,1,1,18,0,30,,,,0,30,TPC-41044-0,,
2025-04-17 00:00:00,投過,E,93N125040125,93-F0120-0010,GM-070/AGS,2025-04-28 00:00:00,2025-04-07 00:00:00,396,50,,,23,無塵室(TP貼合),46,,0,1150,93-F0120-00,,
2025-04-17 00:00:00,投過,E,93N125040125,93-F0120-0010,GM-070/AGS,2025-04-28 00:00:00,2025-04-07 00:00:00,396,46,,17,,無塵室(TP貼合),,,782,0,93-F0120-00,,
2025-04-17 00:00:00,投過,A,93N125030351,93-70801-103,cPCIS-2501/DC2,2025-04-21 00:00:00,2025-04-16 00:00:00,1,1,21,4,40,,,,4,40,93-70801-10,,
,投過,E,93E125040131,93-P1100-6B0E,"SP2-15WP-AL3930, 9-36V, w/ IO",2025-05-02 00:00:00,2025-04-16 00:00:00,2,1,18,,,,,1+N,0,0,93-P1100-6B,,
2025-04-17 00:00:00,投過,E,93E125040354,93-F0130-100E,GM-270G/Everi,2025-04-21 00:00:00,2025-04-10 00:00:00,2,2,27,22,30,,,,44,60,93-F0130-10,,
2025-04-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
