第4週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2025-01-22 00:00:00,,D,93E124120392,TPC-41035-0930,TPC-41035-0930 (MXC-6403D),2025-02-11 00:00:00,2025-01-21 00:00:00,3,3,18,0,30,,,,0,90,TPC-41035-0
2025-01-22 00:00:00,,A,93N125010122,93-D1207-1010,WM200/US,2025-02-04 00:00:00,2025-01-15 00:00:00,30,30,24,12,,,,,360,0,93-D1207-10
2025-01-22 00:00:00,投過,D,93E125020119,93-45R03-201E,"ROScube-X, w/FPD-Link III, RQX-59F",2025-02-03 00:00:00,2025-01-20 00:00:00,2,2,21,10,15,,,,20,30,93-45R03-20
2025-01-22 00:00:00,,D,93N125010202,93-SHT02-A010,Triton S1 HRX,2025-02-04 00:00:00,2025-01-20 00:00:00,25,2,18,0,13.5,,,,0,27,93-SHT02-A0
2025-01-22 00:00:00,,D,93E124120393,TPC-41053-0100,TPC-41053-0100(MVP-6247),2025-02-19 00:00:00,2025-01-21 00:00:00,1,1,18,0,30,,,,0,30,TPC-41053-0
2025-01-22 00:00:00,,B,93N125030060,93-41050-A250,Dell Embedded Gateway EGW-3200-0KR44F,2025-02-03 00:00:00,2025-01-16 00:00:00,39,4,18,0,39.1,,,缺59-44835-AC50*4,0,156.4,93-41050-A2
2025-01-22 00:00:00,投過,D,93E125010051,93-SHT02-001E,Triton S1 HTX w/ video output,2025-02-03 00:00:00,2025-01-13 00:00:00,30,1,18,0,13.5,,,,0,13.5,93-SHT02-00
2025-01-22 00:00:00,,A,93N125010062,AG-M9046-60110,M9046-60110,2025-02-03 00:00:00,2025-01-20 00:00:00,10,10,36,76,88,,,,760,880,AG-M9046-60
2025-01-22 00:00:00,,A,93N124110487,93-41051-4020,AVA-3510-Gen1,2025-02-04 00:00:00,2025-01-21 00:00:00,6,6,,,30,,,,0,180,93-41051-40
2025-01-22 00:00:00,,A,93N124110487,93-41051-4020,AVA-3510-Gen1,2025-02-04 00:00:00,2025-01-21 00:00:00,6,6,27,20,,,,,120,0,93-41051-40
2025-01-22 00:00:00,,E,93N125010135,93-P8000-H510,GM-270SG/IS,2025-03-13 00:00:00,2025-03-05 00:00:00,200,40,27,13.5,,,,,540,0,93-P8000-H5
2025-01-22 00:00:00,投過,D,93E124120324,93-F0091-104E,Capsule Axon 2 – 4-port,2025-02-17 00:00:00,2024-12-19 00:00:00,10,1,18,0,9,,,下午上線,0,9,93-F0091-10
