第10週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,
2025-03-03 00:00:00,投過,A,93N125030016,AG-M9019A-CFG001A5,M9019A_A5,2025-03-06 00:00:00,2025-02-27 00:00:00,25,20,27,75,76.3,,,,1500,1526,AG-M9019A-C,
2025-03-03 00:00:00,,A,93N125020060,93-F0074-0020,G42 Eagle PC/Data Modul,2025-03-20 00:00:00,2025-02-26 00:00:00,130,50,24,15,42,,,,750,2100,93-F0074-00,
2025-03-03 00:00:00,,A,93R125020122,93-41055-2020,MXE-231/M16G/256G/EVERI,2025-03-11 00:00:00,,198,50,18,,5,,,1+N,0,250,93-41055-20,
2025-03-03 00:00:00,,A,93E125030107,93-D2102-150E,MLC-M110,2025-05-22 00:00:00,2025-02-25 00:00:00,1,1,21,4.9,33,,,1+N,4.9,33,93-D2102-15,
2025-03-03 00:00:00,,E,93E125030029,93-F0116-100E,GM-270SG/KGI,2025-03-07 00:00:00,2025-02-27 00:00:00,90,40,,,30,TP-ASSY,,,0,1200,93-F0116-10,
2025-03-03 00:00:00,,A,93R125020112,93-22807-040E,MECS-6120 Icelake D-1747NTE cfg4,2025-03-07 00:00:00,2025-02-27 00:00:00,5,5,,,30,,,,0,150,93-22807-04,
,,,,,,,,,,,,,,,,,,,
3/3 (一)   加工4 主線13  (7820)  支援sorting 1人,,,,,,,,,,90,,,,7603.9,當日總工時,2254.9,5259,,
,,,,,,,,,,90,,,,7603.9,IPC,2254.9,5259,,
,,,,,,,,,預計生產,0,,,,0,IDS,0,0,,
,,,,,,,,,166,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-03-04 00:00:00,,A,93E125010168,9B-D2303-100E,"MLC-S, i5 CPU(12th), AC, rear chassis",2025-03-21 00:00:00,2025-03-03 00:00:00,25,24,27,15,30,,,1+N,360,720,9B-D2303-10,
2025-03-04 00:00:00,,A,93N125030040,AG-N5511-60110,N5511-60110,2025-03-11 00:00:00,2025-03-03 00:00:00,5,5,21,90,82.6,,,急件,450,413,AG-N5511-60,
2025-03-04 00:00:00,,A,93N125030159,AG-M9019A-CFG001A5,M9019A_A5,2025-03-20 00:00:00,2025-03-03 00:00:00,50,15,27,75,76.3,,,,1125,1144.5,AG-M9019A-C,
2025-03-04 00:00:00,,E,93N125010121,93-P8000-H410,GM-270S/IS,2025-03-13 00:00:00,2025-03-03 00:00:00,100,1,,,38,,,,0,38,93-P8000-H4,
2025-03-04 00:00:00,,A,93R125020122,93-41055-2020,MXE-231/M16G/256G/EVERI,2025-03-11 00:00:00,,198,98,,,5,,,,0,490,93-41055-20,
2025-03-04 00:00:00,,A,93N125030159,AG-M9019A-CFG001A5,M9019A_A5,2025-03-20 00:00:00,2025-03-03 00:00:00,50,35,27,75,,,,,2625,0,AG-M9019A-C,
,,,,,,,,,,,,,,,,,,,
3/4 (二) 加工4 主線14  (8280) ,,,,,,,,,,102,,,,7467.5,當日總工時,4560,2805.5,,
,,,,,,,,,,102,,,,7429.5,IPC,4560,2767.5,,
,,,,,,,,,預計生產,0,,,,38,IDS,0,38,,
,,,,,,,,,178,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-03-05 00:00:00,,E,93E125030144,93-P6000-J00E,OM-320,2025-03-10 00:00:00,2025-02-27 00:00:00,1,1,0,0,5,,,,0,5,93-P6000-J0,
2025-03-05 00:00:00,,A,93E125010168,9B-D2303-100E,"MLC-S, i5 CPU(12th), AC, rear chassis",2025-03-21 00:00:00,2025-03-03 00:00:00,25,1,27,15,30,,,,15,30,9B-D2303-10,
2025-03-05 00:00:00,,A,93N125030159,AG-M9019A-CFG001A5,M9019A_A5,2025-03-20 00:00:00,2025-03-03 00:00:00,50,20,,,76.3,,,,0,1526,AG-M9019A-C,
2025-03-05 00:00:00,,A,93E125040133,93-45103-450E,DLAP-211-Orin NXS 16GB w/ SSD512GB,2025-03-07 00:00:00,2025-02-18 00:00:00,5,4,21,5,20,,,1+N,20,80,93-45103-45,
2025-03-05 00:00:00,,A,93N125040061,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-03-08 00:00:00,2025-03-04 00:00:00,190,190,18,0,32.95,,,,0,6260.500000000001,93-F0114-01,
