Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,A,,55P124100007,cExpress-MTL-155H,55-72221-103E,A1,2/5,1/16,6,,55,52,107,10.7,60,85,2025-02-04 00:00:00,,,,"Clare,純SMT",2,2024-12-18 00:00:00,,,
,,,,,,,A,,55E124090265,"cPCI-A3M12, 2x 10G, 2x 2.5G",55-32016-100E,A1,2/6,1/10,10,,35,33,68,11.333333333333334,80,91.33333333333333,2025-02-04 00:00:00,,,,Raymond,2,2024-12-18 00:00:00,,,DEV-0053089
,,,,,,,A,,55E124110304,"cPCI-A3M12 w/o M12, support DB-CPCI01",55-32016-300E,A1,2/6,1/9,10,,35,33,68,11.333333333333334,80,91.33333333333333,2025-02-04 00:00:00,,,,Raymond,2,2024-12-18 00:00:00,,,DEV-0053089
,,,,,,●,A,,55E125020165,cExpress-RLP-i3-1320PRE-16G/64G,55-72222-200E,A1,2/5,1/24,14,,58,55,113,26.366666666666667,90,140,2025-02-04 00:00:00,,,,"Cindy,純SMT(鋼板2/4中午到廠)",2,2025-01-20 00:00:00,,,DEV-0053218
,,,,,1/14,,A,,55N125010326,M9010-66520,55-63625-0050,A3,2/6,2/4,116,,40,41.82,81.82,158.18533333333332,40,198.18533333333332,2025-02-04 00:00:00,,,,,1,2024-12-12 00:00:00,,重要工單,
,,,,,1/7,,A,,59N124120429,Express-DN7-C3708/4G/64G/CYMER,59-72132-1330,A2,2/6,2/3,34,,37,38,75,42.5,60,102.5,2025-02-04 00:00:00,,,,純SMT,2,2024-12-17 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1428.352,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,59N125020045,Express-CF-i3-8100H/ARIS,59-72131-2470,A2,2/11,1/22,370,770,45,30,75,462.5,0,462.5,2025-02-04 00:00:00,660.7142857142858,,,純SMT(2/5上午接測),2,2024-12-10 00:00:00,,重要工單,
,,,,,,,,2/4,,,,,,,,,,,Total,,,462.5,660.7142857142858,,,,,,,,,
,,,,,1/21,,B,,55E124120408,Aristocrat Gen10 Backplane,55-79030-004E,A3,2/7,2/4,260,,0,18,18,78,40,118,2025-02-05 00:00:00,,,,Kim,1,2024-12-23 00:00:00,,,
,,,,,1/2,,B,,55N124120461,NVR MB,55-65537-0020,A2,2/6,1/23,150,,71,112,183,457.5,40,497.5,2025-02-05 00:00:00,,,,,1,2024-12-27 00:00:00,,,
,,,,,1/24,,B,,59N125020233,LEC-AL-E3940-8G-ER/IVN5,59-72506-5310,B1,2/17,2/3,382,,48,30,78,496.6,40,536.6,2025-02-05 00:00:00,,,,純SMT(2/6上午接測),2,2025-01-03 00:00:00,,重要工單,DEV-0053012
,,,,,,,B,,55N125020163,cPCI-6636/6820E/M4,55-65314-1420,A3,2/6,2/3,20,,82,70,152,50.666666666666664,60,110.66666666666666,2025-02-05 00:00:00,,,,,1,2025-01-09 00:00:00,,,
,,,,,1/24,,B,,59N125020160,cExpress-TL-i5-1145G7E/TPM/TXT/ACAL,59-72218-1510,A3,2/7,2/4,10,,43,46,89,14.833333333333334,60,85,2025-02-05 00:00:00,,,,純SMT,2,2024-12-26 00:00:00,,,
,,,,,1/24,,B,,55N125020091,M9019-66530,55-63623-0030,A3,2/6,1/22,30,105,40,40,80,40,40,80,2025-02-05 00:00:00,,,,,1,2024-12-26 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1427.7666666666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
