Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,B,,55E125040021,Aristocrat Gen10 Backplane,55-79030-004E,A3,7/5,6/30,636,,0,18,18,190.8,15,205.8,2025-07-01 00:00:00,,,,Kim(客戶巡線參訪),1,2025-05-15 00:00:00,,重要工單,
,,,,,,,B,,55E125070157,LEC-ALN-x7425E-8G-0G-CT/Barco,55-72519-320E,A2,7/2,6/30,26,,60,35.8,95.8,41.51333333333333,60,101.51333333333332,2025-07-01 00:00:00,,,,"Claire,純SMT",2,2025-06-13 00:00:00,,重要工單,
,,,,,6/16,,B,,55E125060466,COM-HPC-cRLS-R680E/Figure-ai,55-73301-130E,A3,7/3,6/25,100,,55,51,106,176.66666666666666,60,236.66666666666666,2025-07-01 00:00:00,,,,Cindy,1,2025-06-02 00:00:00,,,DEV-0054563
,,,,,6/25,,B,,55E125060078,cExpress-BT-E3827/GM,55-72209-120E,B3,7/2,6/27,50,,45,38,83,69.16666666666667,40,109.16666666666667,2025-07-01 00:00:00,,,,"Cindy,純SMT(7/2上午接測)",2,2025-05-23 00:00:00,,,
,,,,,,,B,,59N125060369,nanoX-BT-E3845-2G/BD,59-72304-0260,A5,7/4,6/30,280,,26.3,24.7,51,238,40,278,2025-07-01 00:00:00,,,,純SMT(7/2上午接測),2,2025-05-14 00:00:00,,,
,,,,,,,B,,55N125070275,M9019-66530,55-63623-0030,A3,7/2,6/30,20,,40,40,80,26.666666666666668,60,86.66666666666667,2025-07-01 00:00:00,,,,,1,2025-06-05 00:00:00,,重要工單,
,,,,,,,B,,55N125070339,P831,55-63529-0020,A1,7/3,6/30,10,,29,25.56,54.56,9.093333333333334,60,85,2025-07-01 00:00:00,,,,,2,2025-06-17 00:00:00,,重要工單,
,,,,,6/23,,B,,55N125050495,cPCI-6540/2276ML/M32G,55-31426-0250,A2,7/3,6/30,18,,72.4,62.9,135.3,40.59,60,100.59,2025-07-01 00:00:00,,,,,1,2025-05-27 00:00:00,,,
,,,,,,,B,,59N125060260,ADi-BABX-211/Everi  ,59-67300-0010,A1,7/4,6/30,98,,35,38,73,119.23333333333333,40,159.23333333333335,2025-07-01 00:00:00,,,,,2,2025-06-01 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1362.6366666666665,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線、收線,,,,,,,,,,,,,60,,,,,,,,,,
,,,,,,,,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,●,A,,55E125050119,SBC25 MTK Genio 520 LPDDR5 8GB,55-44A02-000E,A1,7/4,6/27,5,,45,45,90,7.5,90,140,2025-07-01 00:00:00,,,,May,2,2025-06-09 00:00:00,,重要工單,DEV-0054539
,,,,,,●,A,,55E125050361,SBC25 MTK Genio 520 LPDDR5 8GB,55-44A02-000E,A1,7/4,6/27,10,,45,45,90,15,20,35,2025-07-01 00:00:00,,,,May,2,2025-06-09 00:00:00,,重要工單,DEV-0054088
,,,,,,●,A,,55E125060384,GROHE BCU iMX8MP Mother Board,55-66055-102E,A3,7/4,6/27,28,,15,42,57,26.6,90,140,2025-07-01 00:00:00,,,,Erica,1,2025-06-18 00:00:00,,,DEV-0054799
,,,,,,,A,,55E125080005,Peacock M.2 carrier,55-63649-001E,A2,7/2,6/30,10,,3,3,6,1,60,85,2025-07-01 00:00:00,,,,"Emma,純SMT",8,2025-06-11 00:00:00,,重要工單,
,,,,,,,A,,55E125010365,PXIe-9908_DB,55-38220-002E,A2,7/3,6/20,6,,35,35,70,7,60,85,2025-07-01 00:00:00,,,,Erica,2,2025-06-17 00:00:00,,,
,,,,,,,A,,59N125050524,TPMMOD-2,59-7A201-0010,A1,7/4,6/30,48,,2.5,2.5,5,4,60,85,2025-07-01 00:00:00,,,,,16,2025-06-01 00:00:00,,重要工單,
,,,,,,,A,,55N125050499,Audio WM8960,55-79018-0010,A1,7/4,6/30,60,,2,2,4,4,60,85,2025-07-01 00:00:00,,,,,30,2025-06-04 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1435,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6/26,,E,,59N125070001,LEC-iMX64-C5-2G-4G-ER,59-72501-0220Z,A4,7/10,6/25,680,1530,29,20,49,555.3333333333334,0,555.3333333333334,2025-07-01 00:00:00,653.3333333333334,,,純SMT(7/3開始，每天接測600pcs),2,2025-06-04 00:00:00,,重要工單,
,,,,,,,,7/1,,,,,,,,,,,Total,,,555.3333333333334,653.3333333333334,,,,,,,,,
,,,,,6/23,,B,,59N125050504,cExpress-SL-i5-6300U/SMD,59-72213-1260,B1,7/7,7/1,94,,58,30,88,137.86666666666667,40,177.86666666666667,2025-07-02 00:00:00,,,,純SMT,2,2025-06-05 00:00:00,,重要工單,
,,,,,6/24,,B,,59N125060258,Express-SL2-i7-6822EQ/LAR,59-72133-B120,A1,7/7,7/1,152,,75.4,32.8,108.2,274.1066666666667,40,314.1066666666667,2025-07-02 00:00:00,,,,純SMT(7/3上午接測),2,2025-06-19 00:00:00,,,
,,,,,6/24,,B,,55N125060013,NVR MB w/o PoE ports,55-65537-0120,A2,7/8,7/1,291,446,70,110,180,873,40,913,2025-07-02 00:00:00,,,,,1,2025-06-01 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1404.9733333333334,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線、收線,,,,,,,,,,,,,60,,,,,,,,,,
,,,,,,,,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,●,A,,55E125060189,cExpress-R8-8845HS,55-72223-000E,A1,7/2,7/1,10,,55,55,110,18.333333333333332,90,140,2025-07-02 00:00:00,,,,Jessie,2,2025-06-06 00:00:00,,,DEV-0054461
,,,,,,●,A,,55E125060297,cExpress-R8-8645HS,55-72223-200E,A1,7/2,7/1,6,,60,60,120,12,90,140,2025-07-02 00:00:00,,,,Jessie,2,2025-06-06 00:00:00,,,DEV-0054461
,,,,,6/23,,A,,59N125070111,DB-P6302,59-37626-0010,A1,7/4,7/1,78,,28,26,54,70.2,40,110.2,2025-07-02 00:00:00,,,,,2,2025-06-04 00:00:00,,,
6/9,6/9,6/9,6/9,6/9,6/23,,A,,59N125080009,DB-3SSDSM,59-37581-5010,A3,7/7,7/1,50,,8,8,16,13.333333333333334,60,85,2025-07-02 00:00:00,,,,,5,2025-06-01 00:00:00,,,
,,,,,6/16,,A,,55N125080009,cPCI-3630/E3930/M4G/non J2,55-31125-0930,A2,7/3,7/1,48,,48.01,37.47,85.47999999999999,68.38399999999999,60,128.384,2025-07-02 00:00:00,,,,,2,2025-06-01 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1383.584,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6/26,,E,,59N125070001,LEC-iMX64-C5-2G-4G-ER,59-72501-0220Z,A4,7/10,6/25,350,1530,29,20,49,285.8333333333333,0,285.8333333333333,2025-07-02 00:00:00,336.27450980392155,,,純SMT(7/3開始，每天接測600pcs),2,2025-06-04 00:00:00,,重要工單,
,,,,,6/26,,E,,59N125070009,Express-CF-i3-8100H/ARIS,59-72131-2470,A2,7/10,7/1,200,1400,45,30,75,250,0,250,2025-07-02 00:00:00,294.11764705882354,,,"純SMT,隔天接測",2,2025-06-12 00:00:00,,重要工單,
,,,,,,,,7/2,,,,,,,,,,,Total,,,535.8333333333333,630.3921568627451,,,,,,,,,
,,,,,6/24,,B,,55N125060013,NVR MB w/o PoE ports,55-65537-0120,A2,7/8,7/1,155,446,70,110,180,465,0,465,2025-07-03 00:00:00,,,,,1,2025-06-01 00:00:00,,重要工單,
,,,,,6/16,,B,,55E125060228,cPCI-A3535KR/11850HE,55-31130-400E,A2,7/7,7/2,108,,55,50,105,189,40,229,2025-07-03 00:00:00,,,,Candace,2,2025-06-04 00:00:00,,,
,,,,,6/16,,B,,59N125060131,DB-P6301,59-37625-0010,A1,7/10,7/2,22,,15,18,33,12.1,60,85,2025-07-03 00:00:00,,,,,2,2025-06-04 00:00:00,,,
,,,,,6/16,,B,,59N125050499,I-Pi SMARC Plus,59-77A07-0050,A3,7/10,6/16,10,,21,26,47,7.833333333333333,60,85,2025-07-03 00:00:00,,,,,2,2025-06-04 00:00:00,,,
,,,,,6/16,,B,,59N125070140,M9019-66501,59-63515-0080,A2,7/10,6/23,30,,0,42,42,21,60,85,2025-07-03 00:00:00,,,,,2,2025-06-01 00:00:00,,重要工單,
,,,,,6/27,,B,,59N125060160,EGX-MXM-RTX5000/Adlink logo,59-7C002-0010,A2,7/8,6/16,20,,63.2,30,93.2,31.066666666666666,60,91.06666666666666,2025-07-03 00:00:00,,,,純SMT,2,2025-06-01 00:00:00,,,
,,,,,6/27,,B,,59N125060551,Express-BD74-D1577/TPM2.0/CWC,59-72134-2110,A1,7/8,7/3,162,,43,44,87,234.9,40,274.9,2025-07-03 00:00:00,,,,純SMT,2,2025-06-20 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1314.9666666666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線、收線,,,,,,,,,,,,,60,,,,,,,,,,
,,,,,,,,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,●,A,,55E125070084,PCIeX-16X-E,55-79032-000E,A1,7/8,6/25,20,,40,40,80,26.666666666666668,90,140,2025-07-03 00:00:00,,,,Cindy,6,2025-06-10 00:00:00,,,DEV-0054813
,,,,,,,A,,55E125060221,DB-P6305/160G,55-37634-000E,A1,7/7,7/2,12,,20,28,48,9.6,80,89.6,2025-07-03 00:00:00,,,,Raymond,1,2025-05-22 00:00:00,,,DEV-0054258
,,,,,6/27,,A,,55E125060229,DB-P6304KR,55-37630-100E,A1,7/4,7/2,108,,21,25,46,82.8,60,142.8,2025-07-03 00:00:00,,,,Candace,4,2025-06-04 00:00:00,,,
,,,,,,,A,,55N125070218,GPM-4XMO-TB,55-64412-0030,1A2,7/4,7/2,6,,13.5,8,21.5,2.15,60,85,2025-07-03 00:00:00,,,,,3,2025-06-04 00:00:00,,重要工單,
,,,,,,,A,,55N125070219,GPM-4XMO-CB,55-64507-0020,A4,7/4,7/2,6,,25.2,32.5,57.7,5.7700000000000005,60,85,2025-07-03 00:00:00,,,,,3,2025-06-04 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1322.4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6/26,,E,,59N125070009,Express-CF-i3-8100H/ARIS,59-72131-2470,A2,7/10,7/1,450,1400,45,30,75,562.5,0,562.5,2025-07-03 00:00:00,661.7647058823529,,,"純SMT,隔天接測",2,2025-06-12 00:00:00,,重要工單,
,,,,,,,,7/3,,,,,,,,,,,Total,,,562.5,661.7647058823529,,,,,,,,,
,,,,,,,,,夜班開線8小時,,,,,,,,,,,,,240,,,,,,,,,,
,,,,,,,,,收線,,,,,,,,,,,,,30,,,,,,,,,,
