Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,B,,調班至2/28,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,調班至2/28,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,55E125030017,Aristocrat Gen10 Carrier,55-77522-002E,A2,3/10,2/27,420,1096,27.5,38.8,66.3,464.1,0,464.1,2025-03-01 00:00:00,663.0000000000001,,,Kim,1,2025-02-10 00:00:00,,重要工單,
,,,,,,,,3/1,,,,,,,,,,,Total,,,464.1,663.0000000000001,,,,,,,,,
,,,,,第一週排程,,,,,,,,,,生產數量,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,,上線時間,結束時間,備註,IE專用,,,,
,,,,,,,,,開線,,,,,,,,,,,,,30,,,,,,,,,,
,,,,,,,B,,55E124120416,Aristocrat Gen10 Backplane,55-79030-004E,A3,3/5,2/19,300,,0,18,18,90,40,130,2025-03-03 00:00:00,,,,Kim,1,2024-12-24 00:00:00,,,
,,,,,2/6,,B,,55E125020016,Aristocrat Gen10 Backplane,55-79030-004E,A3,3/7,2/19,200,,0,18,18,60,0,60,2025-03-03 00:00:00,,,,Kim (3/4 夜班DIP),1,2024-12-24 00:00:00,,重要工單,
,,,,,,,B,,55N125040045,PXIe Type-6 CB/Atoll,55-63511-3020,A4,3/5,2/19,11,,40.9,41.1,82,15.033333333333333,60,85,2025-03-03 00:00:00,,,,,1,2025-02-07 00:00:00,,重要工單,
,,,,,,,B,,55N125040110,PXIe Type-6 CB/Atoll,55-63511-3030,A4,3/5,2/15,9,,40.9,41.1,82,12.3,20,32.3,2025-03-03 00:00:00,,,,,1,2025-02-07 00:00:00,,重要工單,
,,,,,,,B,,55N125030186,PXIe-9834,55-38902-1030,A2,3/5,2/27,6,,29,36,65,6.5,60,85,2025-03-03 00:00:00,,,,,2,2025-02-07 00:00:00,,重要工單,
,,,,,,,B,,55N124120469,NVR MB,55-65537-0020,A2,3/4,2/27,150,,71,112,183,457.5,60,517.5,2025-03-03 00:00:00,,,,,1,2025-01-21 00:00:00,,,DEV-0053664
,,,,,,,B,,59N125030092,UNP PB-2719A,59-37569-0020,A1,3/5,2/24,16,,12.96,0,12.96,3.4560000000000004,60,85,2025-03-03 00:00:00,,,,,2,2025-01-16 00:00:00,,重要工單,
,,,,,,,B,,59N125030410,MXM-A500-4G-40W,59-7C006-1120,1A1,3/5,2/18,26,,23,25,48,20.8,60,85,2025-03-03 00:00:00,,,,純SMT,2,2025-02-18 00:00:00,,重要工單,
,,,,,2/22,,B,,59N125030081,t2cExpress-SL-i7-6600U/Datasol,59-72213-0340,B1,3/6,2/11,54,,59,28,87,78.3,60,138.3,2025-03-03 00:00:00,,,,純SMT,2,2025-01-09 00:00:00,,重要工單,
,,,,,2/7,,B,,55N125020365,Express-TL-i5-11500HE/SSM,55-72138-3220,A2,3/7,2/20,60,150,51.44,58.62,110.06,110.06,40,150.06,2025-03-03 00:00:00,,,,純SMT,2,2025-01-16 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1398.1599999999999,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線、收線,,,,,,,,,,,,,60,,,,,,,,,,
,,,,,,,,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
