Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,,,開線,,,,,,,,,,,,,30,,,,,,,,,,
,,,,,7/24,,B,,55E125060374,Philips DIMv2,55-67900-001E,2A1,9/4,6/20,600,,0,8,8,80,40,120,2025-09-01 00:00:00,,,,Agnes,10,2025-05-22 00:00:00,,,
,,,,,,,B,,59N125060501,cExpress-TL-i7-1185G7E/eDP/TPM/ACAL,59-72218-0310,A3,9/4,8/29,60,,43,46,89,89,40,129,2025-09-01 00:00:00,,,,純SMT,2,2025-07-24 00:00:00,,,
,,,,,,,B,,59N125080259,cExpress-KL-i5-7300U/SMD,59-72215-1140,B1,9/9,8/29,100,,67.5,28.5,96,160,40,200,2025-09-01 00:00:00,,,,純SMT,2,2025-07-24 00:00:00,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,479,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線、收線,,,,,,,,,,,,,60,,,,,,,,,,
,,,,,,,,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,,A,,59N125090046,ADM-AL30 BP board,59-33327-0010,A2,9/3,8/29,24,,18,25,43,17.2,60,85,2025-09-01 00:00:00,,,,,2,2025-07-22 00:00:00,,,
,,,,,,,A,,59N125100049,UNP aDB-1520,59-65437-0010,A1,9/3,8/29,60,,0,5.46,5.46,5.46,60,85,2025-09-01 00:00:00,,,,,2,2025-07-22 00:00:00,,重要工單,
,,,,,,,A,,59N125100082,M9019-66502,59-63516-0020,A1,9/3,8/29,60,,0,28,28,28,60,88,2025-09-01 00:00:00,,,,,10,2025-07-22 00:00:00,,重要工單,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1038,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,55E125070359,Aristocrat Gen10 Carrier,55-77522-003E,A2,9/10,8/20,450,1200,27.5,38.8,66.3,497.25,0,497.25,2025-09-01 00:00:00,663,,,Kim,1,2025-07-23 00:00:00,,,
,,,,,,,,9/1,,,,,,,,,,,Total,,,497.25,663,,,,,,,,,
,,,,,,,B,,55N125080313,Express-CFR-i3-9100HL/CM246/FB,55-72135-2220,A1,,,588,,48.68,40.14,88.82,870.4359999999999,40,910.4359999999999,2025-09-02 00:00:00,,,,"Karen,純SMT",2,2025-07-22 00:00:00,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,910.4359999999999,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線、收線,,,,,,,,,,,,,60,,,,,,,,,,
,,,,,,,,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,,A,,55N125060505,cPCI-6636DZ/6820/M0,55-65314-4120,A3,9/3,9/1,6,,83,80,163,16.3,60,85,2025-09-02 00:00:00,,,,,1,2025-07-22 00:00:00,,,
,,,,,,,A,,55N125100066,PXIe Type-6 IOB/Atoll,55-38212-1010,A1,9/3,9/1,50,,8,8,16,13.333333333333334,60,85,2025-09-02 00:00:00,,,,,5,2025-07-22 00:00:00,,重要工單,
,,,,,,,A,,59N125070365,cExpress-MTL-125H,59-72221-4010,A1,9/4,9/1,6,,60,60,120,12,60,85,2025-09-02 00:00:00,,,,純SMT,2,2025-07-23 00:00:00,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1035,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,55E125070359,Aristocrat Gen10 Carrier,55-77522-003E,A2,9/10,8/20,420,1200,27.5,38.8,66.3,464.1,0,464.1,2025-09-02 00:00:00,618.8000000000001,,,Kim,1,2025-07-23 00:00:00,,,
,,,,,,,,9/2,,,,,,,,,,,Total,,,464.1,618.8000000000001,,,,,,,,,
,,,,,,,B,,59N125080124,cExpress-TL-i5-1145G7E,59-72218-1050,A3,9/8,9/2,106,,45.9,45.1,91,160.76666666666668,40,200.76666666666668,2025-09-03 00:00:00,,,,純SMT,2,2025-07-24 00:00:00,,,
,,,,,,,B,,59N125080162,cExpress-TL-i5-1145G7E/TPM/TXT/ACAL,59-72218-1510,A3,9/9,9/2,20,,43,46,89,29.666666666666668,60,89.66666666666667,2025-09-03 00:00:00,,,,純SMT,2,2025-07-24 00:00:00,,,
,,,,,,,B,,59N125080161,cExpress-TL-i3-1115G4E/TPM/ACAL,59-72218-2210,A3,9/9,9/2,12,,43,46,89,17.8,60,85,2025-09-03 00:00:00,,,,純SMT,2,2025-07-24 00:00:00,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,375.43333333333334,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線、收線,,,,,,,,,,,,,60,,,,,,,,,,
,,,,,,,,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,7/21,,A,,55E125040426,RunBMC-AST2600-L,55-79425-102E,A2,9/4,9/2,30,,24,18,42,21,80,101,2025-09-03 00:00:00,,,,"Jessie,純SMT",3,2025-07-17 00:00:00,,,DEV-0054074
,,,,,7/23,,A,,55E125060483,EVB-FC1000,55-67904-000E,A1,9/5,9/2,30,,48,48,96,48,80,128,2025-09-03 00:00:00,,,,Renee,1,2025-06-17 00:00:00,,重要工單,DEV-0054701
,,,,,,,A,,59N125090017,AFM-CCU02,59-65A29-0030,A4,9/5,9/2,16,,33.4,48.2,81.6,21.759999999999998,60,85,2025-09-03 00:00:00,,,,,1,2025-07-22 00:00:00,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1094,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,9/3,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線、收線,,,,,,,,,,,,,60,,,,,,,,,,
,,,,,,,,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,,A,,55E125100023,Seatex ISP2020 I/O Board,55-79207-001E,A2,9/5,9/3,8,,5,5,10,1.3333333333333333,60,85,2025-09-04 00:00:00,,,,Karen,8,2025-07-24 00:00:00,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,865,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,9/4,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,,,B,,55E125090032,Aristocrat Gen10 Backplane,55-79030-004E,A3,9/13,9/4,700,1300,0,18,18,210,15,225,2025-09-05 00:00:00,,,,Kim,1,2025-07-25 00:00:00,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,B,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線、收線,,,,,,,,,,,,,60,,,,,,,,,,
,,,,,,,,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,,A,,59N125090063,DB-3MSATA,59-37598-0030,A3,9/12,9/4,140,,4,4,8,18.666666666666668,60,85,2025-09-05 00:00:00,,,,,10,2025-07-22 00:00:00,,,
,,,,,,,A,,59N125090065,UNP DB-CFast,59-37572-0010,A3,9/9,9/4,20,,0,10,10,3.3333333333333335,60,85,2025-09-05 00:00:00,,,,純SMT,4,2025-07-22 00:00:00,,重要工單,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,A,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,950,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
