Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,B,,倉庫盤點-初盤,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B,,機台歲修廠商保養,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B,,倉庫盤點-初盤,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B,,機台歲修廠商保養,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,倉庫盤點-初盤,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,機台歲修廠商保養,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8/1,,,,,,,,,,,Total,,,,,,,,,,,,,
,,,,,,,B,,倉庫盤點-複盤,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B,,倉庫盤點-複盤,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,倉庫盤點-複盤,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8/2,,,,,,,,,,,Total,,,,,,,,,,,,,
,,,,,第一週排程,,,,,,,,,,生產數量,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,,上線時間,結束時間,備註,IE專用,,,,
,,,,,,,,,第4班開線,,,,,,,,,,,,,90,2025-08-04 00:00:00,,,,,,,,,
,,,,,,,,,會計抽盤/會計師查核 ,,,,,,,,,,,,,480,,,,,,,,,,
,,,,,,,,,開線,,,,,,,,,,,,,90,,,,,,,,,,
,,,,,7/11,,B,,55E125070143,ESM002 Shmm700,55-65014-506E,A4,8/5,8/1,37,,53.28,84.12,137.4,84.73,40,124.73,2025-08-04 00:00:00,,,,Jerry,1,2025-07-07 00:00:00,,重要工單,
,,,,,,,B,,55N125090079,M9019-66530,55-63623-0030,A3,8/6,8/1,54,,40,40,80,72,40,112,2025-08-04 00:00:00,,,,,1,2025-06-23 00:00:00,,重要工單,
,,,,,,,B,,59N125080072,cExpress-KL-3965U/Seatex,59-72215-3170,B1,8/6,8/1,120,,58.27,24.16,82.43,164.86,40,204.86,2025-08-04 00:00:00,,,,純SMT(8/5上午接測),2,2025-06-27 00:00:00,,重要工單,
,,,,,,,B,,59N125090040,EE-2306AD,59-63307-0030,A3,8/6,8/1,75,,46,36,82,102.5,40,142.5,2025-08-04 00:00:00,,,,,2,2025-07-03 00:00:00,,,
,,,,,,,B,,59N125080188,"SP-AL,3950,RES,9-36V,w/ IO,TNA",59-A1021-3210,A4,8/7,8/1,70,,48,65,113,131.83333333333334,40,171.83333333333334,2025-08-04 00:00:00,,,,,1,2025-07-14 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1415.9233333333334,,,,,,,,,,
