Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,,,元旦假期,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1/1,,,,,,,,,,,Total,,,,,,,,,,,,,
,,,,,,,B,,初、複盤,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B,,年末歲修廠商保養,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,初、複盤,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1/2,,A,,55E125010032,ADi-BA3G-CL/H420E/8MB/AGS,55-7B500-110E,A3,12/25,12/17,30,100,79.52,98.01,177.53,88.765,0,88.765,2025-01-02 00:00:00,,,,Maggie(73-74245-0KZ0缺料，請留意生產數量避免耗損),1,2024-12-02 00:00:00,,重要工單,
,,,,,,,A,,55E124120320,RCPU-200/SMARC carrier board,55-32209-002E,A2,1/6,12/25,10,,45,43,88,14.666666666666666,80,94.66666666666667,2025-01-02 00:00:00,,,,Ivy,1,2024-12-11 00:00:00,,,DEV-0053105
,,,,,,,A,,59N125020002,NVR LED board,59-65A71-0010,A1,1/7,12/30,835,,7,8.5,15.5,215.70833333333334,40,255.70833333333334,2025-01-02 00:00:00,,,,DIP作業：1/3*234、1/4*601,5,2024-12-09 00:00:00,,重要工單,
,,,,,12/27,,A,,55N124120428,NVR MB w/o PoE ports,55-65537-0120,A2,1/3,12/26,165,,75,115,190,522.5,40,562.5,2025-01-02 00:00:00,,,,,1,2024-12-06 00:00:00,,,
,,,,,1/2,,A,,59N125020049,AmITX-SL-G-H110/Data Modul,59-7A104-1C30,A3,1/9,1/3,168,,72,55,127,355.6,40,395.6,2025-01-02 00:00:00,,,,,1,2024-12-04 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1397.24,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,12/19,,E,,55E125010015,Aristocrat Gen10 Carrier,55-77522-002E,A2,1/8,12/25,370,840,27.5,38.8,66.3,408.85,0,408.85,2025-01-02 00:00:00,629,,,Kim,1,2024-11-28 00:00:00,,重要工單,
,,,,,,,,1/2,,,,,,,,,,,Total,,,408.85,629,,,,,,,,,
,,,,,,,B,,會計抽盤/會計師查核 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B,,年末歲修廠商保養,,,,,,,,,,,,,660,,,,,,,,,,
,,,,,1/2,,B,,55N124100600,NVR MB w/o PoE ports,55-65537-0120,A2,1/4,12/30,150,,75,115,190,475,40,515,2025-01-03 00:00:00,,,,,1,2024-12-12 00:00:00,,重要工單,
,,,,,12/24,,B,,55N124120420,USB_FM_Zoetis/F,55-A2050-2010,A3,1/7,12/9,10,,13,12,25,4.166666666666667,60,85,2025-01-03 00:00:00,,,,,2,2024-12-10 00:00:00,,重要工單,
,,,,,,,B,,55N124120419,"SP-AL,E3930,PCAP,12V,eDP,TPM",55-A1021-0510,A4,1/7,12/16,10,,45,55,100,16.666666666666668,60,85,2025-01-03 00:00:00,,,,,1,2024-12-10 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1345,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,會計抽盤/會計師查核 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,1/2,,A,,59N125010115,MXM-T1000,59-7C003-1030,1A2,1/14,1/3,206,,35,29,64,219.73333333333332,40,259.73333333333335,2025-01-03 00:00:00,,,,純SMT,2,2024-12-04 00:00:00,,重要工單,
,,,,,,,A,,55E124120385,ASH-cExpress-ALN-N97-8G/Mettler,55-72220-221E,1A1,1/4,12/31,200,,60,55,115,383.3333333333333,40,423.3333333333333,2025-01-03 00:00:00,,,,"Jessie,純SMT",2,2024-12-17 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1403.0666666666666,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,會計抽盤/會計師查核 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,12/19,,E,,55E125010015,Aristocrat Gen10 Carrier,55-77522-002E,A2,1/8,12/25,100,840,27.5,38.8,66.3,110.5,0,110.5,2025-01-03 00:00:00,170,,,Kim,1,2024-11-28 00:00:00,,重要工單,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,12/19,,E,,55E125010024,Aristocrat Gen10 Config stick,55-79028-005E,A1,1/10,12/23,632,,8,7,15,158,0,158,2025-01-03 00:00:00,225.71428571428572,,,"Kim,純SMT",8,2024-11-28 00:00:00,,重要工單,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,50,,,,,,,,,,
,,,,,12/19,,E,,91N125010216,T650QVN07.5/55.65T55.S69/EC code: 06,91-E0053-0010,A1,12/19,11/27,1776,3776,0,6,6,177.6,0,177.6,2025-01-03 00:00:00,221.99999999999997,,,,1,2024-12-05 00:00:00,,重要工單,
,,,,,,,,1/3,,,,,,,,,,,Total,,,496.1,667.7142857142857,,,,,,,,,
,,,,,,,,,夜班開線8小時,,,,,,,,,,,,,240,,,,,,,,,,
,,,,,12/25,,B,,55E124120259,WeRide GU BOX Carrier board,55-65632-006E,A2,1/10,12/25,30,,105,106,211,105.5,60,165.5,2025-01-04 00:00:00,,,,Evelyn-DIP於3F執行選焊,1,2024-11-18 00:00:00,,,
,,,,,12/19,,B,,55N124110540,cExpress-MTL-165H,55-72221-0010,A1,1/7,12/30,10,,55,52,107,17.833333333333332,80,97.83333333333333,2025-01-04 00:00:00,,,,"Clare,純SMT(不要發到X板)",2,2024-12-13 00:00:00,,,DEV-0052754
,,,,,1/2,,B,,55N125010379,NVR MB w/o PoE ports,55-65537-0120,A2,1/6,12/30,150,,75,115,190,475,40,515,2025-01-04 00:00:00,,,,,1,2024-12-12 00:00:00,,,
,,,,,12/26,,B,,59N124120449,nanoX-BT-E3845-4G/CD,59-72304-RD10,A5,1/7,12/30,44,,30,32,62,45.46666666666667,60,105.46666666666667,2025-01-04 00:00:00,,,,純SMT,2,2024-12-17 00:00:00,,重要工單,
,,,,,12/26,,B,,59N125010280,nanoX-BT-E3845-4G,59-72304-R0B0,A5,1/9,1/3,6,,30,27,57,5.7,60,85,2025-01-04 00:00:00,,,,純SMT,2,2024-12-10 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1208.8,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,夜班開線8小時,,,,,,,,,,,,,240,,,,,,,,,,
,,,,,,,A,,55E125010191,ASH-cExpress-ALN-N97-8G/Mettler,55-72220-221E,1A1,1/6,1/3,400,,60,55,115,766.6666666666666,0,766.6666666666666,2025-01-04 00:00:00,,,,"Jessie,純SMT",2,2024-12-17 00:00:00,,,
