Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,B,,MD通知夜班可開線,,,,,,,,,,,0,,0,,,,,夜班出勤8小時,,,,,
,,,,,4/18,,B,,55E124050102,FM-300,55-32207-001E,A1,5/2,4/28,30,,15,18,33,16.5,60,85,2025-05-01 00:00:00,,,,"Ivy,純SMT",10,2025-04-18 00:00:00,,,
,,,,,4/18,,B,,59N125050238,DB-3SSD/B/NTPM,59-37581-3010,A3,5/6,4/30,12,,2.07,4.9,6.970000000000001,1.3940000000000003,60,85,2025-05-01 00:00:00,,,,,5,2025-04-14 00:00:00,,,
,,,,,4/24,,B,,59N125050292,Express-CFR-E-2254ML/TPM2.0/CWC,59-72135-6320,A1,5/6,4/24,172,372,50,40,90,258,40,298,2025-05-01 00:00:00,,,,純SMT,2,2025-04-14 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,468,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,MD通知夜班可開線,,,,,,,,,,,0,,0,,,,,夜班出勤8小時,,,,,
,,,,,4/15,,A,,55E125040302,FM-400/AVA-1000 front panel board,55-32211-003E,A2,5/5,4/30,6,,10,12,22,2.2,60,85,2025-05-01 00:00:00,,,,Ivy,5,2025-04-10 00:00:00,,,
,,,,,4/18,,A,,55E125060102,RF-100/AVA-1000/X86 M.2 RF board,55-32212-100E,A2,5/5,4/25,6,,12,12,24,2.4,60,85,2025-05-01 00:00:00,,,,"Ivy,純SMT",2,2025-04-10 00:00:00,,,
,,,,,4/17,,A,,59N125030477,ETX-BT-E3815-NO AUDIO/SRC3,59-71116-E410,B4,5/6,4/29,50,,53,36,89,74.16666666666667,60,134.16666666666669,2025-05-01 00:00:00,,,,純SMT(5/2上午接測),2,2025-03-27 00:00:00,,,
,,,,,,,A,,55N125050415,Express-CF-i5-8400H/BK,55-72131-1280,A2,5/2,4/30,55,,53,38.8,91.8,84.15,60,144.15,2025-05-01 00:00:00,,,,純SMT(水洗機種),2,2025-04-18 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,448.3166666666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,4/17,,E,,55E125030142,Aristocrat Gen10 Carrier,55-77522-002E,A2,5/8,4/22,450,1150,27.5,38.8,66.3,497.25,0,497.25,2025-05-01 00:00:00,663,,,Kim,1,2025-03-20 00:00:00,,重要工單,
,,,,,,,,5/1,勞工節假期,,,,,,,,,,Total,,,497.25,663,,,,,,,,,
,,,,,,,,,第4班開線,,,,,,,,,,,,,90,2025-05-02 00:00:00,,,,,,,,,
,,,,,4/24,,B,,59N125050292,Express-CFR-E-2254ML/TPM2.0/CWC,59-72135-6320,A1,5/6,4/24,200,372,50,40,90,300,0,300,2025-05-02 00:00:00,,,,純SMT,2,2025-04-14 00:00:00,,,
,,,,,,,B,,55E125030391,Aristocrat Gen10 Backplane,55-79030-004E,A3,5/10,4/10,1400,,0,18,18,420,40,460,2025-05-02 00:00:00,,,,Kim,1,2025-03-19 00:00:00,,重要工單,
,,,,,4/8,,B,,55N125030532,NVR MB w/o PoE ports,55-65537-0120,A2,5/5,4/22,180,220,70,110,180,540,40,580,2025-05-02 00:00:00,,,,5/3 上午DIP投產130pcs,1,2025-03-14 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1430,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4/10,,A,,55N125020433,cPCI-A3525KR/8400H,55-65320-2020,A1,5/5,4/17,308,,58.6,43.2,101.80000000000001,522.5733333333334,40,562.5733333333334,2025-05-02 00:00:00,,,,,2,2025-03-20 00:00:00,,,
,,,,,4/17,,A,,55N125060132,M9018B-66510,55-63609-3030,D3,5/6,4/30,30,,29.9,27,56.9,28.45,40,85,2025-05-02 00:00:00,,,,,1,2025-03-27 00:00:00,,重要工單,
,,,,,4/24,,A,,59N125030233,xeBP-2785,59-38210-0050,A5,5/7,4/10,60,,61.3,44.2,105.5,105.5,40,145.5,2025-05-02 00:00:00,,,,,1,2025-03-20 00:00:00,,重要工單,
,,,,,4/24,,A,,59N125030286,Express-CF-i3-8100H/ARIS,59-72131-2470,A2,5/7,4/23,400,,48,41,89,593.3333333333334,40,633.3333333333334,2025-05-02 00:00:00,745.0980392156863,,,純SMT(AG10),2,2025-03-20 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1426.4066666666668,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,4/24,,E,,55E125040349,Aristocrat Gen10 Carrier,55-77522-002E,A2,5/13,4/22,450,900,27.5,38.8,66.3,497.25,0,497.25,2025-05-02 00:00:00,663,,,Kim,1,2025-03-20 00:00:00,,重要工單,
,,,,,,,,5/2,,,,,,,,,,,Total,,,497.25,663,,,,,,,,,
,,,,,,,,,第4班開線,,,,,,,,,,,,,90,2025-05-03 00:00:00,,,,,,,,,
,,,,,,,,,夜班開線8小時,,,,,,,,,,,,,240,,,,,,,,,,
,,,,,,,,,收線,,,,,,,,,,,,,30,,,,,,,,,,
,,,,,,,B,,55N125030532,NVR MB w/o PoE ports,55-65537-0120,A2,5/5,4/22,40,220,70,110,180,120,0,120,2025-05-03 00:00:00,,,,,1,2025-03-14 00:00:00,,,
