Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,,,第4班開線,,,,,,,,,,,,,90,2025-06-02 00:00:00,,,,,,,,,
,,,,,,,,,開線,,,,,,,,,,,,,30,,,,,,,,,,
,,,,,,,,,消防演練,,,,,,,,,,,,,60,,,,,日班-10:30~10:50、夜班-20:00~20:30,,,,,
,,,,,5/21,,B,,55E125020365,Philips DIMv2,55-67900-001E,2A1,6/9,5/5,1000,,0,8,8,133.33333333333334,40,173.33333333333334,2025-06-02 00:00:00,,,,Agnes,10,2025-04-10 00:00:00,,,
,,,,,5/21,,B,,59N125070034,Express-DN7-C3708/4G/64G/CYMER,59-72132-1330,A2,6/5,5/29,148,,37,38,75,185,40,225,2025-06-02 00:00:00,,,,純SMT(6/3上午接測),2,2025-05-07 00:00:00,,重要工單,
,,,,,,,B,,55N125060153,cPCI-A3525KR/8400H,55-65320-2020,A1,6/4,5/29,200,,58.6,43.2,101.80000000000001,339.33333333333337,40,379.33333333333337,2025-06-02 00:00:00,,,,,2,2025-04-24 00:00:00,,,
,,,,,5/26,,B,,59N125060072,DB-P6302,59-37626-0010,A1,6/6,5/29,142,,28,26,54,127.8,40,167.8,2025-06-02 00:00:00,,,,,2,2025-04-14 00:00:00,,,
,,,,,5/26,,B,,59N125060075,Express-KLE-E3-1505L v6/TPM 2.0/US,59-72130-6220,B2,6/9,5/29,130,172,73.8,34.74,108.53999999999999,235.17,40,275.16999999999996,2025-06-02 00:00:00,,,,純SMT,2,2025-05-07 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1400.6366666666668,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線,,,,,,,,,,,,,30,,,,,,,,,,
