Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,A,,59N125020468,UNP Express-BASE6,59-77104-00G0,B1,4/10,3/31,10,,20,73.9,93.9,15.65,60,85,2025-04-02 00:00:00,,,,,1,2025-03-11 00:00:00,,重要工單,
,,,,,,,A,,59N125050123,UNP HSL-DI8DO8-C-XN,59-23040-00A0,A2,4/8,4/1,48,,0,8,8,6.4,60,85,2025-04-02 00:00:00,,,,,8,2025-02-22 00:00:00,,重要工單,
,,,,,,,A,,59N125030514,cExpress-AR-V2546/RV,59-72219-2110,A2,4/8,3/31,26,,41,45,86,37.266666666666666,60,97.26666666666667,2025-04-02 00:00:00,,,,,2,2025-03-13 00:00:00,,,
,,,,,,,A,,55N125040341,SEMI-MF AG-M9537A,55-65506-00A0,A3,4/8,3/31,10,,57.52,87.5,145.02,24.17,60,85,2025-04-02 00:00:00,,,,,1,2025-03-13 00:00:00,,,
,,,,,,,A,,55N125050094,SEMI-MF xBP-3019A,55-33323-2030,C2,4/8,3/31,10,,16,43,59,9.833333333333334,60,85,2025-04-02 00:00:00,,,,,1,2025-03-13 00:00:00,,,
,,,,,,,A,,59N125050094,UNP PB-2719A,59-37569-0020,A1,4/9,3/31,10,,12.96,0,12.96,2.1600000000000006,60,85,2025-04-02 00:00:00,,,,,2,2025-03-13 00:00:00,,,
,,,,,,,A,,59N125040039,"SP2-IMX8-Q, 8GB, 32GB, 12V, Audio, CT",59-A1033-1210,A2,4/9,3/31,30,,26,38,64,32,60,92,2025-04-02 00:00:00,,,,,2,2025-03-13 00:00:00,,,
,,,,,,,A,,59N125040203,"EMP-510 w/Fan for(i5-1145G7E)_Lan*2,fTPM",59-66046-4210,A4,4/10,3/31,8,,35,60,95,12.666666666666666,60,85,2025-04-02 00:00:00,,,,,1,2025-03-13 00:00:00,,,
,,,,,3/12,,A,,55N125040037,"SP-AL,E3930,PCAP,12V,eDP,TPM",55-A1021-0510,A4,4/11,3/24,244,,45,55,100,406.6666666666667,40,446.6666666666667,2025-04-03 00:00:00,,,,,1,2025-02-25 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1497.6000000000001,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,4/2,,,,,,,,,,,Total,,,0,,,,,,,,,,
,,,,,,,,,夜班開線8小時,,,,,,,,,,,,,240,,,,,,,,,,
,,,,,,,,,收線,,,,,,,,,,,,,30,,,,,,,,,,
,,,,,3/31,,B,,55E125030368,EGX-MXM-T1000/IGT,55-7C003-F03E,A2,4/7,3/28,460,860,41,32,73,559.6666666666666,0,559.6666666666666,2025-04-03 00:00:00,,,,"Rory,純SMT(4/7上午接測)",2,2025-03-18 00:00:00,,,
,,,,,3/31,,B,,59N125030239,Express-IBR-i7-3517UE/Td,59-72121-A680,A3,4/15,3/28,400,,46,35,81,540,40,580,2025-04-03 00:00:00,,,,純SMT,2,2025-02-25 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1409.6666666666665,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,收線,,,,,,,,,,,,,30,,,,,,,,,,
,,,,,,,,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,,A,,55E125030346,Robotics Plus NAV Carrier board,55-E0059-000E,A1,4/7,4/2,2,,20,105,125,4.166666666666667,60,85,2025-04-03 00:00:00,,,,Evelyn(PCB爆板balen同意打件),1,2025-03-24 00:00:00,,,
,,,,,3/18,,A,,55N125040166,M9019-66530,55-63623-0030,A3,4/8,4/1,106,,40,40,80,141.33333333333334,40,181.33333333333334,2025-04-03 00:00:00,,,,,1,2025-03-02 00:00:00,,,
,,,,,3/21,,A,,59N125050060,Express-SLE-E3-1515M w/TPM 2.0,59-72128-S1A0,B1,4/11,4/1,49,,65.9,32.5,98.4,80.36,60,140.36,2025-04-03 00:00:00,,,,純SMT,2,2025-03-12 00:00:00,,,
,,,,,3/21,,A,,59N125030343,cExpress-TL-i5-1145G7E/TPM/TXT/ACAL,59-72218-1510,A3,4/10,4/1,40,,43,46,89,59.333333333333336,60,119.33333333333334,2025-04-03 00:00:00,,,,純SMT,2,2025-03-12 00:00:00,,,
,,,,,3/21,,A,,59N125040168,cExpress-TL-i7-1185G7E/eDP/TPM/ACAL,59-72218-0310,A3,4/10,4/1,26,,43,46,89,38.56666666666667,60,98.56666666666666,2025-04-03 00:00:00,,,,純SMT,2,2025-03-13 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1374.5933333333332,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,,4/3,清明假期,,,,,,,,,,Total,,,,,,,,,,,,,
,,,,,,,,4/4,清明假期,,,,,,,,,,Total,,,,,,,,,,,,,
,,,,,,,,4/5,清明假期,,,,,,,,,,Total,,,,,,,,,,,,,
,,,,,第一週排程,,,,,,,,,,生產數量,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,,上線時間,結束時間,備註,IE專用,,,,
,,,,,,,,,第4班開線,,,,,,,,,,,,,90,,,,,,,,,,
,,,,,,,,,開線,,,,,,,,,,,,,30,,,,,,,,,,
,,,,,3/25,,B,,59N125010424,Express-ID7-D-1713NT/OpenText,59-72137-9130,A2,4/9,4/2,56,,48,41,89,83.06666666666666,60,143.06666666666666,2025-04-07 00:00:00,,,,純SMT,2,2025-03-12 00:00:00,,,
,,,,,3/18,,B,,55N125020432,cPCI-A3525KR/G4930E,55-65320-1020,A1,4/10,4/2,390,,54.7,40.6,95.30000000000001,619.4500000000002,40,659.4500000000002,2025-04-07 00:00:00,,,,4/8上午接DIP*200pcs,2,2025-02-25 00:00:00,,,
,,,,,3/18,,B,,59N125030409,Express-CFR-E-2254ML/TPM2.0/CWC,59-72135-6320,A1,4/11,4/1,310,504,50,40,90,465,40,505,2025-04-07 00:00:00,,,,純SMT(4/8 上午接測300pcs),2,2025-02-25 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1427.5166666666669,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,開線,,,,,,,,,,,,,30,,,,,,,,,,
,,,,,,,A,,55E125040144,cExpress-TL-i5-1145G7E-TPM,55-72218-170E,A3,4/8,3/31,18,,43,46,89,26.7,60,86.7,2025-04-07 00:00:00,,,,"Cindy,純SMT",2,2025-02-26 00:00:00,,,
,,,,,3/25,,A,,59N125050035,cPCI-3620/E3815/M2G,59-31122-5120,A4,4/9,3/27,154,,42.3,32.91,75.21,193.03899999999996,40,233.03899999999996,2025-04-07 00:00:00,,,,,2,2025-02-25 00:00:00,,,
,,,,,,,A,,59N125040128,cPCI-A3H20ND,59-65637-0010,A2,4/9,3/28,90,,22,20,42,63,40,103,2025-04-07 00:00:00,,,,,2,2025-02-22 00:00:00,,,
,,,,,,,A,,59N125030184,Popeye 24V PB-TDK/T,59-63537-1010,A2,4/10,3/14,100,,20,35,55,91.66666666666667,40,131.66666666666669,2025-04-07 00:00:00,,,,,2,2025-02-25 00:00:00,,重要工單,
,,,,,,,A,,59N125050034,DB-3SSD/B/NTPM,59-37581-3010,A3,4/9,3/31,150,,2.07,4.9,6.970000000000001,17.425,40,85,2025-04-07 00:00:00,,,,,5,2025-02-25 00:00:00,,重要工單,
,,,,,,,A,,55N125040153,"SP-TGL,i7,PCAP,12V,EC,TPM,MLC-M",55-A1027-4210,A2,4/9,4/1,26,,62,58,120,52,60,112,2025-04-07 00:00:00,,,,,1,2025-03-18 00:00:00,,,
,,,,,3/11,,A,,55N125040205,M.2 Interposer,55-63645-0010,A1,4/8,3/31,20,,1.52,1.52,3.04,1.0133333333333332,60,85,2025-04-07 00:00:00,,,,純SMT,10,2025-03-02 00:00:00,,,
,,,,,3/11,,A,,55N125040206,M.2 Carrier,55-63646-0010,A2,4/8,3/21,20,,0,20,20,6.666666666666667,60,85,2025-04-07 00:00:00,,,,純SMT,4,2025-03-02 00:00:00,,,
,,,,,,,A,,59N125050052,Express-CF-i3-8100H/Atoll,59-72131-2250,A2,4/9,4/2,50,,53,35,88,73.33333333333333,60,133.33333333333331,2025-04-07 00:00:00,,,,純SMT,2,2025-02-22 00:00:00,,重要工單,
,,,,,,,A,,59N125040216,t1nanoX-EL-x6211E-2G-64G/Itron,59-72307-K110,A1,4/10,4/2,50,,55,30,85,70.83333333333333,60,130.83333333333331,2025-04-07 00:00:00,,,,純SMT,2,2025-02-22 00:00:00,,,
,,,,,4/7,,A,4/8,55N125050006,Super capacitor board for 150W PSU,55-65627-1010,A1,4/9,4/2,50,,0,8,8,6.666666666666667,60,85,2025-04-08 00:00:00,,,,,5,2025-02-22 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1300.5723333333333,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,55E125040026,Aristocrat Gen10 Carrier,55-77522-002E,A2,4/12,4/2,450,700,27.5,38.8,66.3,497.25,0,497.25,2025-04-07 00:00:00,663,,,Kim,1,2025-03-20 00:00:00,,,
,,,,,,,,4/7,,,,,,,,,,,Total,,,497.25,663,,,,,,,,,
,,,,,,,,,第4班開線,,,,,,,,,,,,,90,,,,,,,,,,
,,,,,3/18,,B,,59N125030409,Express-CFR-E-2254ML/TPM2.0/CWC,59-72135-6320,A1,4/11,4/1,194,504,50,40,90,291,0,291,2025-04-08 00:00:00,,,,純SMT(4/8 上午接測300pcs),2,2025-02-25 00:00:00,,重要工單,
,,,,,3/13,,B,,55E125030195,"B&R X20 Edge Motherboard(No 4G,TCM,TPM)",55-66946-001E,A1,4/10,4/1,200,,22,28,50,166.66666666666666,40,206.66666666666666,2025-04-08 00:00:00,,,,Erica,2,2025-03-12 00:00:00,,,
,,,,,3/29,,B,,59N125050066,M9010-66502,59-63516-1020,A1,4/10,4/1,100,,0,28,28,46.666666666666664,60,106.66666666666666,2025-04-08 00:00:00,,,,,10,2025-03-02 00:00:00,,,
,,,,,,,B,,59N125030527,EGX-MXM-T1000/Align,59-7C003-A020,A2,4/10,3/28,360,,39.5,35.5,75,450,40,490,2025-04-08 00:00:00,,,,純SMT(4/9 上午接測),2,2025-03-18 00:00:00,,,
,,,,,,,B,,59N125050016,CM1-86DX3-2G-STANLEY,59-48012-10B0,A5,4/10,4/7,214,,28,26,54,192.6,40,232.6,2025-04-08 00:00:00,,,,,2,2025-03-18 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1416.9333333333332,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,55N125030542,ADM-AL30 Power board,55-32208-0010,A1,4/9,4/7,36,,25,35,60,36,60,96,2025-04-08 00:00:00,,,,Chloe,2,2025-03-25 00:00:00,,,
,,,,,4/2,,A,,55E125030378,Redflex Nirvana carrier board 2.0,55-66035-801E,B1,4/10,4/7,30,,43,50,93,46.5,80,126.5,2025-04-08 00:00:00,,,,Winnie,1,2025-03-26 00:00:00,,,DEV-0054006
,,,,,3/12,,A,,59N125050039,M9049A,59-63304-0040,A3,4/10,3/31,35,,20,20,40,23.333333333333332,60,85,2025-04-08 00:00:00,,,,,2,2025-03-10 00:00:00,,,
,,,,,,,A,,59N125020298,DLAP-411 CB w/ PSE for NVIDIA Jetson AGX,59-77B07-0020,A1,4/10,4/1,12,,45,50,95,19,60,85,2025-04-08 00:00:00,,,,,1,2025-03-02 00:00:00,,,
,,,,,3/29,,A,,59N125050038,UNP CM2-BT2-E3825,59-48104-10A0,A7,4/11,4/7,68,,53,43,96,108.8,40,148.8,2025-04-08 00:00:00,,,,,2,2025-03-18 00:00:00,,,
,,,,,,,A,,55N125050077,M9043-66502,55-63639-1020,A4,4/9,4/7,10,,48,37,85,14.166666666666666,60,85,2025-04-08 00:00:00,,,,,2,2025-03-11 00:00:00,,,
,,,,,3/18,,A,,59N125030367,CM2-BT2-E3825-ELTA,59-48104-1230,A7,4/9,4/7,50,,52,37.9,89.9,74.91666666666667,60,134.91666666666669,2025-04-08 00:00:00,,,,,2,2025-03-18 00:00:00,,,
,,,,,3/12,,A,,59N125030210,MXM-A2000-8G-60W,59-7C005-4130,1A2,4/10,4/7,38,,35,33,68,43.06666666666667,60,103.06666666666666,2025-04-08 00:00:00,,,,純SMT,2,2025-02-25 00:00:00,,重要工單,
,,,,,3/12,,A,,59N125030274,MXM-A1000-4G-35W,59-7C005-5110,1A2,4/10,4/7,54,,45,30,75,67.5,60,127.5,2025-04-08 00:00:00,,,,純SMT,2,2025-02-25 00:00:00,,,
,,,,,,,A,,55N125050076,N5511-60110 Mezz,55-63533-0010,A1,4/9,3/28,5,,65.4,100.7,166.10000000000002,13.841666666666669,60,85,2025-04-08 00:00:00,,,,,1,2025-03-11 00:00:00,,,
,,,,,,,A,,59N125050075,N5511 Power board,59-63515-2010,A2,4/10,4/7,8,,20,20,40,5.333333333333333,60,85,2025-04-08 00:00:00,,,,,2,2025-03-11 00:00:00,,,
,,,,,3/12,,A,,59N125040205,Express-TL-i7-11850HE-2DIMM/M9538A,59-72138-H120,A2,4/10,4/1,20,,52,59,111,37,60,85,2025-04-08 00:00:00,,,,純SMT,2,2025-03-11 00:00:00,,,
,,,,,,,A,,59N125060099,t1Express-TL-W-11865MRE,59-72138-6040,A3,4/10,4/7,6,,51,58,109,10.9,60,85,2025-04-08 00:00:00,,,,純SMT,2,2025-03-11 00:00:00,,,
,,,,,4/7,,A,,55N125030252,SEMI-MF AG-M9537A,55-65506-0090,A3,4/10,3/18,25,,57.52,87.5,145.02,60.425000000000004,60,120.42500000000001,2025-04-08 00:00:00,,,,,1,2025-02-07 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1452.2083333333333,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,55E125040026,Aristocrat Gen10 Carrier,55-77522-002E,A2,4/12,4/2,250,700,27.5,38.8,66.3,276.25,0,276.25,2025-04-08 00:00:00,368.3333333333333,,,Kim,1,2025-03-20 00:00:00,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,4/7,,E,,59N125040002,NVR LED board,59-65A71-0010,A1,4/25,4/7,900,1320,7,8.5,15.5,232.5,40,272.5,2025-04-08 00:00:00,272.5,,,Kim,5,2025-03-20 00:00:00,,,
,,,,,,,,4/8,,,,,,,,,,,Total,,,548.75,640.8333333333333,,,,,,,,,
,,,,,4/1,,B,,55E125040080,ESM002 Shmm700,55-65014-504E,A4,4/11,4/7,63,,53.28,84.12,137.4,144.27,40,184.27,2025-04-09 00:00:00,,,,Yuki,1,2025-03-12 00:00:00,,,
,,,,,,,B,,55E125040229,LEC-ALN-x7425E-8G-32G-CT/YMH,55-72519-311E,A2,4/10,4/8,100,,60,35.8,95.8,159.66666666666666,40,199.66666666666666,2025-04-09 00:00:00,,,,"Claire,純SMT",2,2025-03-26 00:00:00,,,
,,,,,,,B,,55E125030176,ADi-BROM-AD-Everi,55-67202-001E,A2,4/11,4/1,25,,15,15,30,12.5,80,92.5,2025-04-09 00:00:00,,,,Maggie,10,2025-03-19 00:00:00,,,DEV-0053586
,,,,,4/1,,B,,59N125040073,UNP 3A488-LPCI,59-12801-1180,B1,4/11,4/8,100,,0,20.1,20.1,33.50000000000001,40,85,2025-04-09 00:00:00,,,,,2,2025-02-22 00:00:00,,重要工單,
,,,,,4/1,,B,,59N125050067,M9010-66501,59-63525-0070,A2,4/11,4/8,100,,25,23,48,80,40,120,2025-04-09 00:00:00,,,,,1,2025-03-02 00:00:00,,,
,,,,,4/1,,B,,55N125040289,NVR MB w/o PoE ports,55-65537-0120,A2,4/12,3/28,235,369,70,110,180,705,40,745,2025-04-09 00:00:00,,,,4/10 上午DIP投產130pcs,1,2025-02-25 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,1426.4366666666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,收線,,,,,,,,,,,,,30,,,,,,,,,,
,,,,,,,,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,●,A,,55E125010250,LEC-MTK-I1200-8G-128G-ER/EXFO,55-72516-712E,A3,4/10,4/7,16,,45,39,84,22.4,70,120,2025-04-09 00:00:00,,,,"Claire,純SMT",2,2025-01-20 00:00:00,,,DEV-0053347
,,,,,,,A,,55E125040131,"SP-AL,E3930,PCAP,9-36V,w/ IO",55-A1021-7060,A4,4/10,4/2,5,,46.6,50.4,97,8.083333333333334,60,85,2025-04-09 00:00:00,,,,Agnes,1,2025-03-12 00:00:00,,,
,,,,,4/1,,A,,59N125030452,t1Express-RLP-i7-13800HRE-VGA,59-72139-J010,A1,4/18,4/11,6,,55,61,116,11.6,80,91.6,2025-04-09 00:00:00,,,,純SMT,2,2025-03-20 00:00:00,,,DEV-0053704
,,,,,4/1,,A,,59N125030453,cExpress-EL-x6425E-VGA,59-72217-4040,A2,4/18,4/14,6,,44.6,51.8,96.4,9.640000000000002,80,89.64,2025-04-09 00:00:00,,,,純SMT,2,2025-03-12 00:00:00,,,DEV-0053703
